ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
42-17,493819.99,5403253.54,156.1649,0.017921,geo,39.54,241.38,0.5003,0.00,0.0,0.0,0.0
44-20,494139.87,5403910.06,165.4786,0.068382,geo,38.11,260.46,0.5005,0.00,0.0,0.0,0.0
44-21,494281.28,5403430.68,153.5527,0.003769,geo,34.54,242.68,0.5008,0.00,0.0,0.0,0.0
46-17,494772.09,5403559.76,229.7722,0.416716,geo,63.30,238.38,0.9985,13.00,0.0,67.9,0.0
46-18,494932.54,5403086.53,152.8571,0.000000,geo,27.84,249.53,0.7991,0.00,0.0,0.0,0.0
48-20,495395.96,5403245.75,159.1100,0.033878,geo,31.65,256.57,0.5010,0.00,0.0,0.0,0.0
48-19,495234.32,5403718.35,183.6245,0.166694,geo,58.84,268.67,0.5009,0.00,0.0,0.0,0.0
BK14-7,495198.22,5404068.78,173.9501,0.114279,geo,5.44,316.35,0.6000,0.00,0.0,0.0,0.0
BND-1,493819.99,5403086.53,156.9550,0.022202,gray,39.24,243.22,0.5183,0.00,0.0,0.0,0.0
BND-2,495395.96,5403086.53,160.1875,0.039715,gray,33.21,256.63,0.5494,0.00,0.0,0.0,0.0
BND-3,495395.96,5404068.78,173.8344,0.113652,gray,19.28,299.11,0.5958,0.00,0.0,0.0,0.0
BND-4,493819.99,5404068.78,163.8883,0.059766,gray,38.38,257.15,0.5459,0.00,0.0,0.0,0.0
WF-1-LOC1,493827.26,5403730.28,170.1550,0.093718,pink,38.49,252.95,0.5433,13.00,0.0,0.0,0.0
WF-1-LOC2,495204.72,5403730.06,191.7892,0.210929,pink,58.32,268.78,0.5041,13.00,0.0,0.0,0.0
WF-1-LOC3,495204.72,5403525.74,181.9689,0.157724,pink,47.61,263.67,0.5866,13.00,0.0,0.0,0.0
WF-1-LOC4,493827.26,5403526.02,167.1334,0.077347,pink,38.73,247.05,0.5343,13.00,0.0,0.0,0.0
WF-1-BJ1,493852.31,5403730.27,170.2867,0.094431,green,38.47,253.23,0.5422,13.00,0.0,0.0,0.0
