ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
42-17,493819.99,5403253.54,39.54,25.0,241.38,0.5003,0.00,0.0,0.0,0.0
44-20,494139.87,5403910.06,38.11,25.0,260.46,0.5005,0.00,0.0,0.0,0.0
44-21,494281.28,5403430.68,34.54,25.0,242.68,0.5008,0.00,0.0,0.0,0.0
46-17,494772.09,5403559.76,63.30,25.0,238.38,0.9985,13.00,0.0,67.9,0.0
46-18,494932.54,5403086.53,27.84,25.0,249.53,0.7991,0.00,0.0,0.0,0.0
48-20,495395.96,5403245.75,31.65,25.0,256.57,0.5010,0.00,0.0,0.0,0.0
48-19,495234.32,5403718.35,58.84,25.0,268.67,0.5009,0.00,0.0,0.0,0.0
BK14-7,495198.22,5404068.78,5.44,25.0,316.35,0.6000,0.00,0.0,0.0,0.0
BND-1,493819.99,5403086.53,39.24,25.0,243.22,0.5183,0.00,0.0,0.0,0.0
BND-2,495395.96,5403086.53,33.21,25.0,256.63,0.5494,0.00,0.0,0.0,0.0
BND-3,495395.96,5404068.78,19.28,25.0,299.11,0.5958,0.00,0.0,0.0,0.0
BND-4,493819.99,5404068.78,38.38,25.0,257.15,0.5459,0.00,0.0,0.0,0.0
WF-1-LOC1,493827.26,5403730.28,38.49,25.0,252.95,0.5433,13.00,0.0,0.0,0.0
WF-1-LOC2,495204.72,5403730.06,58.32,25.0,268.78,0.5041,13.00,0.0,0.0,0.0
WF-1-LOC3,495204.72,5403525.74,47.61,25.0,263.67,0.5866,13.00,0.0,0.0,0.0
WF-1-LOC4,493827.26,5403526.02,38.73,25.0,247.05,0.5343,13.00,0.0,0.0,0.0
WF-1-BJ1,493852.31,5403730.27,38.47,25.0,253.23,0.5422,13.00,0.0,0.0,0.0
WF-1-BJ2,493877.35,5403730.27,38.44,25.0,253.52,0.5411,13.00,0.0,0.0,0.0
WF-1-BJ3,493902.40,5403730.26,38.42,25.0,253.82,0.5399,13.00,0.0,0.0,0.0
WF-1-BJ4,493927.44,5403730.26,38.39,25.0,254.14,0.5386,13.00,0.0,0.0,0.0
WF-1-BJ5,493952.49,5403730.26,38.37,25.0,254.45,0.5372,13.00,0.0,0.0,0.0
WF-1-BJ6,493977.53,5403730.25,38.35,25.0,254.76,0.5359,13.00,0.0,0.0,0.0
WF-1-BJ7,494002.58,5403730.25,38.33,25.0,255.04,0.5347,13.00,0.0,0.0,0.0
WF-1-BJ8,494027.62,5403730.24,38.31,25.0,255.29,0.5336,13.00,0.0,0.0,0.0
WF-1-BJ9,494052.66,5403730.24,38.31,25.0,255.50,0.5328,13.00,0.0,0.0,0.0
WF-1-BJ10,494077.71,5403730.24,38.30,25.0,255.64,0.5324,13.00,0.0,0.0,0.0
WF-1-BJ11,494102.75,5403730.23,38.31,25.0,255.71,0.5326,13.00,0.0,0.0,0.0
WF-1-BJ12,494127.80,5403730.23,38.33,25.0,255.69,0.5334,13.00,0.0,0.0,0.0
WF-1-BJ13,494152.84,5403730.22,38.36,25.0,255.58,0.5351,13.00,0.0,0.0,0.0
WF-1-BJ14,494177.89,5403730.22,38.41,25.0,255.36,0.5379,13.00,0.0,0.0,0.0
WF-1-BJ15,494202.93,5403730.22,38.49,25.0,255.06,0.5417,13.00,0.0,0.0,0.0
WF-1-BJ16,494227.98,5403730.21,38.60,25.0,254.71,0.5465,13.00,0.0,0.0,0.0
WF-1-BJ17,494253.02,5403730.21,38.75,25.0,254.32,0.5525,13.00,0.0,0.0,0.0
WF-1-BJ18,494278.07,5403730.20,38.94,25.0,253.92,0.5595,13.00,0.0,0.0,0.0
WF-1-BJ19,494303.11,5403730.20,39.20,25.0,253.53,0.5677,13.00,0.0,0.0,0.0
WF-1-BJ20,494328.15,5403730.20,39.52,25.0,253.17,0.5772,13.00,0.0,0.0,0.0
WF-1-BJ21,494353.20,5403730.19,39.93,25.0,252.85,0.5882,13.00,0.0,0.0,0.0
WF-1-BJ22,494378.24,5403730.19,40.43,25.0,252.56,0.6005,13.00,0.0,0.0,0.0
WF-1-BJ23,494403.29,5403730.19,41.01,25.0,252.30,0.6143,13.00,0.0,0.0,0.0
WF-1-BJ24,494428.33,5403730.18,41.69,25.0,252.06,0.6294,13.00,0.0,0.0,0.0
WF-1-BJ25,494453.38,5403730.18,42.46,25.0,251.82,0.6459,13.00,0.0,0.0,0.0
WF-1-BJ26,494478.42,5403730.17,43.32,25.0,251.57,0.6638,13.00,0.0,0.0,0.0
WF-1-BJ27,494503.47,5403730.17,44.28,25.0,251.30,0.6829,13.00,0.0,0.0,0.0
WF-1-BJ28,494528.51,5403730.17,45.32,25.0,250.99,0.7029,13.00,0.0,0.0,0.0
WF-1-BJ29,494553.56,5403730.16,46.42,25.0,250.65,0.7233,13.00,0.0,0.0,0.0
WF-1-BJ30,494578.60,5403730.16,47.54,25.0,250.26,0.7438,13.00,0.0,0.0,0.0
WF-1-BJ31,494603.65,5403730.15,48.67,25.0,249.85,0.7638,13.00,0.0,0.0,0.0
WF-1-BJ32,494628.69,5403730.15,49.77,25.0,249.42,0.7828,13.00,0.0,0.0,0.0
WF-1-BJ33,494653.73,5403730.15,50.79,25.0,249.02,0.8003,13.00,0.0,0.0,0.0
WF-1-BJ34,494678.78,5403730.14,51.69,25.0,248.68,0.8151,13.00,0.0,0.0,0.0
WF-1-BJ35,494703.82,5403730.14,52.40,25.0,248.46,0.8266,13.00,0.0,0.0,0.0
WF-1-BJ36,494728.87,5403730.13,52.89,25.0,248.42,0.8343,13.00,0.0,0.0,0.0
WF-1-BJ37,494753.91,5403730.13,53.15,25.0,248.61,0.8378,13.00,0.0,0.0,0.0
WF-1-BJ38,494778.96,5403730.13,53.15,25.0,249.06,0.8367,13.00,0.0,0.0,0.0
WF-1-BJ39,494804.00,5403730.12,52.89,25.0,249.82,0.8308,13.00,0.0,0.0,0.0
WF-1-BJ40,494829.05,5403730.12,52.39,25.0,250.91,0.8202,13.00,0.0,0.0,0.0
WF-1-BJ41,494854.09,5403730.11,51.68,25.0,252.35,0.8047,13.00,0.0,0.0,0.0
WF-1-BJ42,494879.14,5403730.11,50.85,25.0,254.09,0.7852,13.00,0.0,0.0,0.0
WF-1-BJ43,494904.18,5403730.11,50.00,25.0,256.02,0.7628,13.00,0.0,0.0,0.0
WF-1-BJ44,494929.22,5403730.10,49.21,25.0,258.09,0.7381,13.00,0.0,0.0,0.0
WF-1-BJ45,494954.27,5403730.10,48.58,25.0,260.19,0.7120,13.00,0.0,0.0,0.0
WF-1-BJ46,494979.31,5403730.09,48.19,25.0,262.24,0.6852,13.00,0.0,0.0,0.0
WF-1-BJ47,495004.36,5403730.09,48.11,25.0,264.15,0.6583,13.00,0.0,0.0,0.0
WF-1-BJ48,495029.40,5403730.09,48.46,25.0,265.79,0.6318,13.00,0.0,0.0,0.0
WF-1-BJ49,495054.45,5403730.08,49.26,25.0,267.11,0.6064,13.00,0.0,0.0,0.0
WF-1-BJ50,495079.49,5403730.08,50.45,25.0,268.08,0.5825,13.00,0.0,0.0,0.0
WF-1-BJ51,495104.54,5403730.07,51.98,25.0,268.71,0.5604,13.00,0.0,0.0,0.0
WF-1-BJ52,495129.58,5403730.07,53.74,25.0,269.02,0.5408,13.00,0.0,0.0,0.0
WF-1-BJ53,495154.63,5403730.07,55.54,25.0,269.07,0.5243,13.00,0.0,0.0,0.0
WF-1-BJ54,495179.67,5403730.06,57.19,25.0,268.95,0.5117,13.00,0.0,0.0,0.0
WF-1-BJ55,495204.72,5403704.52,58.32,25.0,268.71,0.5045,13.00,0.0,0.0,0.0
WF-1-BJ56,495204.72,5403678.98,57.61,25.0,268.62,0.5099,13.00,0.0,0.0,0.0
WF-1-BJ57,495204.72,5403653.44,56.38,25.0,268.35,0.5196,13.00,0.0,0.0,0.0
WF-1-BJ58,495204.72,5403627.90,54.82,25.0,267.82,0.5323,13.00,0.0,0.0,0.0
WF-1-BJ59,495204.72,5403602.36,53.07,25.0,267.03,0.5467,13.00,0.0,0.0,0.0
WF-1-BJ60,495204.72,5403576.82,51.24,25.0,266.02,0.5614,13.00,0.0,0.0,0.0
WF-1-BJ61,495204.72,5403551.28,49.41,25.0,264.88,0.5750,13.00,0.0,0.0,0.0
WF-1-BJ62,495179.67,5403525.75,47.69,25.0,263.18,0.5965,13.00,0.0,0.0,0.0
WF-1-BJ63,495154.63,5403525.75,47.68,25.0,262.50,0.6093,13.00,0.0,0.0,0.0
WF-1-BJ64,495129.58,5403525.76,47.68,25.0,261.63,0.6248,13.00,0.0,0.0,0.0
WF-1-BJ65,495104.54,5403525.76,47.74,25.0,260.56,0.6431,13.00,0.0,0.0,0.0
WF-1-BJ66,495079.49,5403525.77,47.92,25.0,259.29,0.6641,13.00,0.0,0.0,0.0
WF-1-BJ67,495054.45,5403525.77,48.28,25.0,257.81,0.6880,13.00,0.0,0.0,0.0
WF-1-BJ68,495029.40,5403525.78,48.86,25.0,256.13,0.7145,13.00,0.0,0.0,0.0
WF-1-BJ69,495004.36,5403525.78,49.72,25.0,254.25,0.7437,13.00,0.0,0.0,0.0
WF-1-BJ70,494979.31,5403525.79,50.91,25.0,252.19,0.7754,13.00,0.0,0.0,0.0
WF-1-BJ71,494954.27,5403525.79,52.37,25.0,250.02,0.8089,13.00,0.0,0.0,0.0
WF-1-BJ72,494929.22,5403525.80,54.06,25.0,247.80,0.8434,13.00,0.0,0.0,0.0
WF-1-BJ73,494904.18,5403525.80,55.89,25.0,245.61,0.8777,13.00,0.0,0.0,0.0
WF-1-BJ74,494879.14,5403525.81,57.77,25.0,243.55,0.9106,13.00,0.0,0.0,0.0
WF-1-BJ75,494854.09,5403525.81,59.56,25.0,241.73,0.9402,13.00,0.0,0.0,0.0
WF-1-BJ76,494829.05,5403525.82,61.07,25.0,240.30,0.9642,13.00,0.0,0.0,0.0
WF-1-BJ77,494804.00,5403525.82,62.07,25.0,239.39,0.9799,13.00,0.0,0.0,0.0
WF-1-BJ78,494778.96,5403525.83,62.52,25.0,238.99,0.9868,13.00,0.0,0.0,0.0
WF-1-BJ79,494753.91,5403525.83,62.37,25.0,239.07,0.9846,13.00,0.0,0.0,0.0
WF-1-BJ80,494728.87,5403525.84,61.64,25.0,239.57,0.9735,13.00,0.0,0.0,0.0
