ID,X,Y,实测值
Q11,494117.6314,5403803.3770,0.3375
Q12,494117.6314,5403778.3770,0.5375
Q13,494117.6314,5403753.3770,0.7845
Q14,494117.6314,5403728.3760,1.1215
Q15,494117.6314,5403703.3760,1.6330
Q16,494117.6314,5403678.3760,2.2415
Q17,494117.6314,5403635.0760,2.9945
Q18,494117.6314,5403610.0760,2.8005
Q19,494117.6314,5403585.0760,2.2465
Q20,494117.6314,5403560.0760,1.5875
Q21,494117.6314,5403535.0760,1.0405
Q22,494117.6314,5403510.0760,0.6955
Q23,494117.6314,5403485.0760,0.4815
Q24,494117.6314,5403460.0760,0.2975
Q25,494117.6314,5403435.0760,0.2050
Q26,494117.6314,5403410.0760,0.1300
S11,494517.7150,5403803.3770,0.3660
S12,494517.7150,5403778.3770,0.6080
S13,494517.7150,5403753.3770,0.9475
S14,494517.7150,5403728.3760,1.4450
S15,494517.7150,5403703.3760,2.1665
S16,494517.7150,5403678.3760,3.0390
S17,494517.7150,5403635.0760,4.4370
S18,494517.7150,5403610.0760,4.3635
S19,494517.7150,5403585.0760,3.6410
S20,494517.7150,5403560.0760,2.5850
S21,494517.7150,5403535.0760,1.6585
S22,494517.7150,5403510.0760,1.0370
S23,494517.7150,5403485.0760,0.6120
S24,494517.7150,5403460.0760,0.3515
S25,494517.7150,5403435.0760,0.1940
S26,494517.7150,5403410.0760,0.1215
Z11,493842.7150,5403660.0760,1.3060
Z12,493867.7150,5403660.0760,1.8085
Z13,493892.7150,5403660.0760,2.2100
Z14,493917.7150,5403660.0760,2.5460
Z15,493942.7150,5403660.0760,2.8145
Z16,493967.7150,5403660.0760,3.0445
Z17,493992.7150,5403660.0760,3.1960
Z18,494017.7150,5403660.0760,3.2090
Z19,494042.7150,5403660.0760,3.1605
Z20,494067.7150,5403660.0760,2.9965
Z21,494092.7150,5403660.0760,2.8870
Z22,494117.7150,5403660.0760,2.7770
Z23,494142.7150,5403660.0760,2.7020
Z24,494167.7150,5403660.0760,2.6660
Z25,494192.7150,5403660.0760,2.6595
Z26,494217.7150,5403660.0760,2.6365
Z27,494242.7150,5403660.0760,2.7075
Z28,494267.7150,5403660.0760,2.6810
Z29,494292.7150,5403660.0760,2.6600
Z30,494317.7150,5403660.0760,2.6500
Z31,494342.7150,5403660.0760,2.7345
Z32,494367.7150,5403660.0760,2.8740
Z33,494392.7150,5403660.0760,3.0450
Z34,494417.7150,5403660.0760,3.2435
Z35,494442.7150,5403660.0760,3.4475
Z36,494467.7150,5403660.0760,3.6665
Z37,494492.7150,5403660.0760,3.9110
Z38,494517.7150,5403660.0760,4.1980
Z39,494542.7150,5403660.0760,4.4305
Z40,494567.7150,5403660.0760,4.6015
Z41,494592.7150,5403660.0760,4.7405
Z42,494617.7150,5403660.0760,4.8260
Z43,494642.7150,5403660.0760,4.7810
Z44,494667.7150,5403660.0760,4.7755
Z45,494692.7150,5403660.0760,4.6600
Z46,494717.7150,5403660.0760,4.5635
Z47,494742.7150,5403660.0760,4.4435
Z48,494767.7150,5403660.0760,4.2320
Z49,494792.7150,5403660.0760,4.2010
Z50,494817.7150,5403660.0760,4.1845
Z51,494842.7150,5403660.0760,4.2545
Z52,494867.7150,5403660.0760,4.5365
Z53,494892.7150,5403660.0760,4.6865
Z54,494917.7150,5403660.0760,4.9170
Z55,494942.7150,5403660.0760,5.1020
Z56,494967.7150,5403660.0760,5.1070
Z57,494992.7150,5403660.0760,4.9595
Z58,495017.7150,5403660.0760,4.4835
Z59,495042.7150,5403660.0760,3.6000
Z60,495067.7150,5403660.0760,2.4950
Z61,495092.7150,5403660.0760,1.4440
Z62,495117.7150,5403660.0760,0.8500
Z63,495142.7150,5403660.0760,0.3400
Z64,495167.7150,5403660.0760,0.1700
Z65,495192.7150,5403660.0760,0.1130
Z66,495217.7150,5403660.0760,0.0660
