ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
50-14,495394.96,5404813.13,7.00,25.0,100.13,299.7948,27.83,0.0,0.0,0.0
50-15,495558.87,5404339.03,10.70,25.0,94.97,203.8481,25.24,0.0,0.0,0.0
50-16,495724.71,5403865.27,67.88,25.0,62.11,178.5582,19.07,0.0,0.0,0.0
52-17,495869.64,5404980.28,13.79,18.2,76.60,290.7766,41.90,0.0,0.0,0.0
52-18,496022.31,5404502.09,10.80,25.0,118.00,229.7122,21.45,0.0,0.0,0.0
52-19,496166.57,5404015.05,12.20,25.0,91.45,192.8016,25.24,0.0,0.0,0.0
54-16,496497.74,5404659.17,7.30,25.0,115.48,231.9091,22.13,0.0,0.0,0.0
54-17,496655.46,5404184.68,31.63,25.0,88.85,244.4627,15.84,0.0,0.0,0.0
54-18,496814.18,5403710.73,23.18,25.0,95.83,163.4604,19.17,0.0,0.0,0.0
56-18,496675.16,5405766.01,31.36,25.0,73.01,367.9716,37.05,0.0,0.0,0.0
56-20,497136.01,5404331.36,42.30,25.0,153.69,96.3401,30.71,0.0,0.0,0.0
56-22,497291.62,5403856.01,23.99,25.0,194.58,131.9908,16.22,0.0,0.0,0.0
60-18,497934.73,5405121.27,7.78,25.0,85.04,393.3244,43.13,0.0,0.0,0.0
60-20,498232.97,5404152.17,21.95,25.0,90.75,248.8583,19.48,0.0,0.0,0.0
64-24,498879.63,5405400.98,19.68,25.0,126.49,372.1935,22.69,0.0,0.0,0.0
BK12-2,497464.39,5404959.31,14.60,25.0,101.83,356.8387,35.57,0.0,0.0,0.0
BK12-3,497621.50,5404458.17,47.71,25.0,62.24,311.5349,20.35,0.0,0.0,0.0
BK12-4,497754.00,5403998.03,12.19,25.0,62.66,284.3160,20.74,0.0,0.0,0.0
BK12-7,498083.15,5404638.49,19.18,25.0,46.22,388.7325,18.33,0.0,0.0,0.0
BK12-8,498378.44,5403689.89,12.27,25.0,49.23,273.1153,17.71,0.0,0.0,0.0
BK14-9,499027.94,5404918.19,47.18,25.0,119.97,317.0020,20.11,0.0,0.0,0.0
BK17-6,498782.26,5404074.31,33.91,25.0,41.61,284.1628,25.34,0.0,0.0,0.0
BK20-1,498695.79,5404381.00,7.95,25.0,28.60,326.3662,20.38,0.0,0.0,0.0
BK23-3,498046.92,5404790.11,11.42,25.0,111.04,349.5780,23.23,0.0,0.0,0.0
BK23-4,498616.54,5404670.77,23.33,25.0,134.90,305.1006,20.80,0.0,0.0,0.0
BK23-5,496173.39,5405602.25,9.65,25.0,164.54,200.2891,39.89,0.0,0.0,0.0
BK23-6,496830.86,5405285.47,8.21,25.0,123.58,338.9049,33.43,0.0,0.0,0.0
BK23-8,497760.29,5405592.22,9.27,25.0,73.25,417.5623,39.60,0.0,0.0,0.0
BND-1,495394.96,5403689.89,38.98,24.8,83.40,211.3800,22.53,0.0,0.0,0.0
BND-2,499027.94,5403689.89,22.85,25.0,69.48,286.6189,22.66,0.0,0.0,0.0
BND-3,499027.94,5405766.01,21.25,24.9,107.83,339.5717,24.88,0.0,0.0,0.0
BND-4,495394.96,5405766.01,16.48,24.2,108.07,267.2489,31.24,0.0,0.0,0.0
