ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
50-14,495394.96,5404813.13,157.5866,0.274872,geo,7.00,100.13,299.7948,0.00,65.0,0.0,0.0
50-15,495558.87,5404339.03,136.6844,0.177252,geo,10.70,94.97,203.8481,0.00,65.0,0.0,0.0
50-16,495724.71,5403865.27,145.2810,0.217401,geo,67.88,62.11,178.5582,0.00,65.0,0.0,0.0
52-17,495869.64,5404980.28,139.0653,0.188372,geo,13.79,76.60,290.7766,0.00,65.0,0.0,0.0
52-18,496022.31,5404502.09,162.7795,0.299125,geo,10.80,118.00,229.7122,0.00,65.0,0.0,0.0
52-19,496166.57,5404015.05,132.4435,0.157446,geo,12.20,91.45,192.8016,0.00,65.0,0.0,0.0
54-16,496497.74,5404659.17,158.2743,0.278084,geo,7.30,115.48,231.9091,0.00,65.0,0.0,0.0
54-17,496655.46,5404184.68,155.0852,0.263190,geo,31.63,88.85,244.4627,0.00,65.0,0.0,0.0
54-18,496814.18,5403710.73,138.9334,0.187756,geo,23.18,95.83,163.4604,0.00,65.0,0.0,0.0
56-18,496675.16,5405766.01,165.0083,0.309534,geo,31.36,73.01,367.9716,0.00,65.0,0.0,0.0
56-20,497136.01,5404331.36,192.5907,0.438353,geo,42.30,153.69,96.3401,0.00,65.0,0.0,0.0
56-22,497291.62,5403856.01,222.8378,0.579616,geo,23.99,194.58,131.9908,0.00,65.0,0.0,0.0
60-18,497934.73,5405121.27,163.0480,0.300379,geo,7.78,85.04,393.3244,0.00,65.0,0.0,0.0
60-20,498232.97,5404152.17,182.1542,0.389611,geo,21.95,90.75,248.8583,13.00,65.0,39.5,0.0
64-24,498879.63,5405400.98,205.4714,0.498509,geo,19.68,126.49,372.1935,0.00,65.0,0.0,0.0
BK12-2,497464.39,5404959.31,176.2185,0.361889,geo,14.60,101.83,356.8387,0.00,65.0,0.0,0.0
