ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
50-14,495394.96,5404813.13,139.4738,0.210272,geo,7.00,100.13,299.7948,0.00,0.0,0.0,0.0
50-15,495558.87,5404339.03,120.8530,0.121428,geo,10.70,94.97,203.8481,0.00,0.0,0.0,0.0
50-16,495724.71,5403865.27,127.4736,0.153017,geo,67.88,62.11,178.5582,0.00,0.0,0.0,0.0
52-17,495869.64,5404980.28,122.9718,0.131537,geo,13.79,76.60,290.7766,0.00,0.0,0.0,0.0
52-18,496022.31,5404502.09,243.3227,0.705754,geo,10.80,118.00,229.7122,4.00,0.0,264.3,0.0
52-19,496166.57,5404015.05,117.0694,0.103376,geo,12.20,91.45,192.8016,0.00,0.0,0.0,0.0
54-16,496497.74,5404659.17,140.0199,0.212877,geo,7.30,115.48,231.9091,0.00,0.0,0.0,0.0
54-17,496655.46,5404184.68,232.2210,0.652786,geo,31.63,88.85,244.4627,15.84,0.0,223.1,0.0
54-18,496814.18,5403710.73,122.5983,0.129756,geo,23.18,95.83,163.4604,0.00,0.0,0.0,0.0
56-18,496675.16,5405766.01,145.6838,0.239901,geo,31.36,73.01,367.9716,0.00,0.0,0.0,0.0
56-20,497136.01,5404331.36,177.0824,0.389709,geo,42.30,153.69,96.3401,4.00,0.0,10.3,0.0
56-22,497291.62,5403856.01,196.7346,0.483473,geo,23.99,194.58,131.9908,0.00,0.0,0.0,0.0
60-18,497934.73,5405121.27,234.2805,0.662612,geo,7.78,85.04,393.3244,4.00,0.0,238.1,0.0
60-20,498232.97,5404152.17,255.0965,0.761929,geo,21.95,90.75,248.8583,19.48,0.0,288.1,0.0
64-24,498879.63,5405400.98,181.6546,0.411524,geo,19.68,126.49,372.1935,0.00,0.0,0.0,0.0
BK12-2,497464.39,5404959.31,168.9118,0.350726,geo,14.60,101.83,356.8387,4.00,0.0,25.8,0.0
BK12-3,497621.50,5404458.17,237.0676,0.675910,geo,47.71,62.24,311.5349,4.00,0.0,263.9,0.0
BK12-4,497754.00,5403998.03,136.4085,0.195647,geo,12.19,62.66,284.3160,20.74,0.0,19.6,0.0
BK12-7,498083.15,5404638.49,119.9016,0.116889,geo,19.18,46.22,388.7325,0.00,0.0,0.0,0.0
BK12-8,498378.44,5403689.89,97.4280,0.009663,geo,12.27,49.23,273.1153,0.00,0.0,0.0,0.0
BK14-9,499027.94,5404918.19,184.6977,0.426043,geo,47.18,119.97,317.0020,0.00,0.0,0.0,0.0
BK17-6,498782.26,5404074.31,191.1744,0.456945,geo,33.91,41.61,284.1628,23.14,0.0,172.2,0.0
BK20-1,498695.79,5404381.00,130.8207,0.168986,geo,7.95,28.60,326.3662,4.00,0.0,109.6,0.0
BK23-3,498046.92,5404790.11,254.7528,0.760289,geo,11.42,111.04,349.5780,4.00,0.0,251.8,0.0
BK23-4,498616.54,5404670.77,187.4071,0.438970,geo,23.33,134.90,305.1006,4.00,0.0,13.1,0.0
BK23-5,496173.39,5405602.25,212.2897,0.557690,geo,9.65,164.54,200.2891,4.00,0.0,91.9,0.0
BK23-6,496830.86,5405285.47,187.5687,0.439741,geo,8.21,123.58,338.9049,4.00,0.0,49.5,0.0
BK23-8,497760.29,5405592.22,184.4133,0.424686,geo,9.27,73.25,417.5623,4.00,0.0,112.0,0.0
BND-1,495394.96,5403689.89,131.4026,0.171763,gray,38.98,83.40,211.3800,0.00,0.0,0.0,0.0
BND-2,499027.94,5403689.89,122.9575,0.131470,gray,22.85,69.48,286.6189,0.00,0.0,0.0,0.0
BND-3,499027.94,5405766.01,161.9690,0.317600,gray,21.25,107.83,339.5717,0.00,0.0,0.0,0.0
BND-4,495394.96,5405766.01,146.2448,0.242577,gray,16.48,108.07,267.2489,0.00,0.0,0.0,0.0
BJ1,495601.82,5404270.61,123.1479,0.132378,blue,13.20,94.85,208.1438,0.00,0.0,0.0,0.0
BJ2,495603.05,5405808.91,149.6438,0.258795,blue,16.14,113.23,264.2561,0.00,0.0,0.0,0.0
BJ3,496085.13,5404207.59,130.2344,0.166189,blue,18.33,97.71,216.3403,0.00,0.0,0.0,0.0
BJ4,496085.13,5404272.58,134.1775,0.185002,blue,17.57,101.72,223.3059,0.00,0.0,0.0,0.0
BJ5,496170.86,5403926.97,120.5210,0.119845,blue,15.59,91.89,197.8029,0.00,0.0,0.0,0.0
BJ6,496177.63,5404207.59,129.9777,0.164964,blue,18.02,97.68,216.1491,0.00,0.0,0.0,0.0
BJ7,498958.81,5405677.69,166.2785,0.338162,blue,21.03,111.76,346.9132,0.00,0.0,0.0,0.0
BJ8,498958.81,5403926.11,116.7152,0.101686,blue,26.88,57.97,288.6053,0.00,0.0,0.0,0.0
WF-1-LOC1,496227.86,5403988.22,140.5554,0.215432,pink,13.82,92.00,196.0740,23.14,0.0,0.0,0.0
WF-1-LOC2,498908.18,5403988.22,134.3607,0.185876,pink,29.41,51.45,287.5308,23.14,0.0,0.0,0.0
WF-1-LOC3,498908.18,5404296.22,134.1080,0.184671,pink,19.77,55.76,306.7199,22.30,0.0,0.0,0.0
WF-1-LOC4,496227.86,5404296.22,156.7372,0.292639,pink,18.22,101.97,226.3203,23.14,0.0,0.0,0.0
WF-2-LOC1,495652.73,5404326.22,127.5025,0.153154,pink,12.85,95.58,209.8109,4.00,0.0,0.0,0.0
WF-2-LOC2,498908.18,5404326.22,117.3036,0.104494,pink,18.74,56.24,309.0029,4.00,0.0,0.0,0.0
WF-2-LOC3,498908.18,5404634.22,153.2686,0.276089,pink,24.69,95.43,312.7855,4.00,0.0,0.0,0.0
WF-2-LOC4,495652.73,5404634.22,138.2232,0.204305,pink,13.64,99.11,252.0223,4.00,0.0,0.0,0.0
WF-3-LOC1,495653.00,5404664.22,138.6000,0.206102,pink,13.41,98.76,256.6714,4.00,0.0,0.0,0.0
WF-3-LOC2,498908.18,5404664.22,157.0803,0.294275,pink,26.14,98.92,313.1420,4.00,0.0,0.0,0.0
WF-3-LOC3,498908.18,5404972.22,179.9428,0.403357,pink,39.90,114.89,319.1359,4.00,0.0,0.0,0.0
WF-3-LOC4,495653.00,5404972.22,135.7809,0.192652,pink,13.27,90.51,279.7063,4.00,0.0,0.0,0.0
WF-4-LOC1,495653.27,5405002.22,135.6931,0.192233,pink,13.44,90.28,279.6850,4.00,0.0,0.0,0.0
WF-4-LOC2,498908.18,5405002.22,178.6845,0.397353,pink,38.53,114.18,320.3597,4.00,0.0,0.0,0.0
WF-4-LOC3,498908.18,5405310.22,181.4133,0.410373,pink,20.98,122.40,363.6212,4.00,0.0,0.0,0.0
WF-4-LOC4,495653.27,5405310.22,144.4411,0.233972,pink,14.83,102.30,268.8693,4.00,0.0,0.0,0.0
WF-5-LOC1,495653.54,5405340.22,145.5568,0.239295,pink,14.92,103.87,267.6498,4.00,0.0,0.0,0.0
WF-5-LOC2,498869.67,5405340.22,183.7412,0.421480,pink,20.08,124.85,369.0049,4.00,0.0,0.0,0.0
WF-5-LOC3,498869.67,5405648.22,171.6643,0.363858,pink,20.73,113.32,350.5288,4.00,0.0,0.0,0.0
WF-5-LOC4,495653.54,5405648.22,153.6164,0.277749,pink,15.45,114.98,260.4654,4.00,0.0,0.0,0.0
WF-1-BJ1,496252.91,5403988.22,142.0165,0.222404,green,14.80,92.51,198.4229,23.14,0.0,0.0,0.0
WF-1-BJ2,496277.96,5403988.22,143.6716,0.230300,green,15.91,93.09,201.0825,23.14,0.0,0.0,0.0
WF-1-BJ3,496303.01,5403988.22,145.3340,0.238232,green,17.01,93.68,203.7486,23.14,0.0,0.0,0.0
WF-1-BJ4,496328.06,5403988.22,147.0601,0.246467,green,18.11,94.34,206.4727,23.14,0.0,0.0,0.0
WF-1-BJ5,496353.11,5403988.22,148.7863,0.254703,green,19.21,94.99,209.1968,23.14,0.0,0.0,0.0
WF-1-BJ6,496378.16,5403988.22,150.2645,0.261756,green,20.23,95.58,211.6475,23.04,0.0,0.0,0.0
WF-1-BJ7,496403.21,5403988.22,151.2699,0.266553,green,21.13,96.08,213.7013,22.67,0.0,0.0,0.0
WF-1-BJ8,496428.26,5403988.22,152.2754,0.271350,green,22.03,96.57,215.7552,22.30,0.0,0.0,0.0
WF-1-BJ9,496453.31,5403988.22,152.9836,0.274730,green,22.79,96.92,217.2676,21.95,0.0,0.0,0.0
WF-1-BJ10,496478.36,5403988.22,153.5730,0.277541,green,23.48,97.20,218.5633,21.60,0.0,0.0,0.0
WF-1-BJ11,496503.41,5403988.22,154.1566,0.280326,green,24.17,97.48,219.8448,21.26,0.0,0.0,0.0
WF-1-BJ12,496528.46,5403988.22,154.4683,0.281813,green,24.66,97.66,220.4363,20.98,0.0,0.0,0.0
WF-1-BJ13,496553.51,5403988.22,154.7800,0.283300,green,25.16,97.83,221.0277,20.70,0.0,0.0,0.0
WF-1-BJ14,496578.56,5403988.22,155.0662,0.284666,green,25.58,98.04,221.3684,20.46,0.0,0.0,0.0
WF-1-BJ15,496603.61,5403988.22,155.2998,0.285780,green,25.86,98.32,221.1912,20.31,0.0,0.0,0.0
WF-1-BJ16,496628.66,5403988.22,155.5334,0.286895,green,26.14,98.60,221.0140,20.15,0.0,0.0,0.0
WF-1-BJ17,496653.71,5403988.22,155.8423,0.288369,green,26.29,99.09,220.2931,20.10,0.0,0.0,0.0
WF-1-BJ18,496678.76,5403988.22,156.1950,0.290052,green,26.37,99.70,219.2561,20.09,0.0,0.0,0.0
WF-1-BJ19,496703.81,5403988.22,156.5476,0.291734,green,26.45,100.31,218.2191,20.09,0.0,0.0,0.0
WF-1-BJ20,496728.86,5403988.22,157.1428,0.294574,green,26.41,101.32,216.5523,20.19,0.0,0.0,0.0
WF-1-BJ21,496753.91,5403988.22,157.7537,0.297489,green,26.37,102.37,214.8444,20.30,0.0,0.0,0.0
WF-1-BJ22,496778.96,5403988.22,158.4487,0.300804,green,26.32,103.52,213.0782,20.43,0.0,0.0,0.0
WF-1-BJ23,496804.01,5403988.22,159.4026,0.305356,green,26.27,105.00,211.1322,20.58,0.0,0.0,0.0
WF-1-BJ24,496829.06,5403988.22,160.3566,0.309907,green,26.21,106.49,209.1862,20.74,0.0,0.0,0.0
WF-1-BJ25,496854.11,5403988.22,161.5258,0.315486,green,26.17,108.23,207.2493,20.89,0.0,0.0,0.0
WF-1-BJ26,496879.16,5403988.22,162.8704,0.321901,green,26.16,110.19,205.3198,21.03,0.0,0.0,0.0
WF-1-BJ27,496904.21,5403988.22,164.2151,0.328317,green,26.14,112.14,203.3903,21.17,0.0,0.0,0.0
WF-1-BJ28,496929.26,5403988.22,165.8886,0.336302,green,26.15,114.55,201.4099,21.25,0.0,0.0,0.0
WF-1-BJ29,496954.31,5403988.22,167.6170,0.344548,green,26.16,117.05,199.4209,21.33,0.0,0.0,0.0
WF-1-BJ30,496979.36,5403988.22,169.3994,0.353052,green,26.17,119.64,197.3869,21.39,0.0,0.0,0.0
WF-1-BJ31,497004.41,5403988.22,171.4587,0.362878,green,26.17,122.74,195.1222,21.37,0.0,0.0,0.0
WF-1-BJ32,497029.46,5403988.22,173.5181,0.372703,green,26.16,125.85,192.8574,21.34,0.0,0.0,0.0
WF-1-BJ33,497054.51,5403988.22,175.6981,0.383105,green,26.12,129.26,190.3815,21.24,0.0,0.0,0.0
WF-1-BJ34,497079.55,5403988.22,178.0147,0.394157,green,26.04,133.00,187.6667,21.07,0.0,0.0,0.0
WF-1-BJ35,497104.60,5403988.22,180.3313,0.405210,green,25.96,136.75,184.9519,20.90,0.0,0.0,0.0
WF-1-BJ36,497129.65,5403988.22,182.6878,0.416454,green,25.83,140.76,181.9807,20.63,0.0,0.0,0.0
WF-1-BJ37,497154.70,5403988.22,185.0559,0.427752,green,25.67,144.85,178.9351,20.34,0.0,0.0,0.0
WF-1-BJ38,497179.75,5403988.22,187.3743,0.438814,green,25.52,148.86,175.9509,20.05,0.0,0.0,0.0
WF-1-BJ39,497204.80,5403988.22,189.1332,0.447206,green,25.34,152.02,173.6562,19.77,0.0,0.0,0.0
WF-1-BJ40,497229.85,5403988.22,190.8920,0.455598,green,25.17,155.19,171.3615,19.49,0.0,0.0,0.0
WF-1-BJ41,497254.90,5403988.22,191.9916,0.460844,green,25.01,157.17,170.2309,19.29,0.0,0.0,0.0
WF-1-BJ42,497279.95,5403988.22,192.0503,0.461124,green,24.87,157.29,170.9384,19.21,0.0,0.0,0.0
WF-1-BJ43,497305.00,5403988.22,192.1089,0.461403,green,24.72,157.42,171.6458,19.13,0.0,0.0,0.0
WF-1-BJ44,497330.05,5403988.22,190.6474,0.454430,green,24.56,154.80,175.3671,19.23,0.0,0.0,0.0
WF-1-BJ45,497355.10,5403988.22,188.5152,0.444257,green,24.38,150.98,180.4181,19.40,0.0,0.0,0.0
WF-1-BJ46,497380.15,5403988.22,186.3830,0.434084,green,24.21,147.15,185.4691,19.57,0.0,0.0,0.0
WF-1-BJ47,497405.20,5403988.22,182.6890,0.416459,green,23.85,140.74,193.6180,19.83,0.0,0.0,0.0
WF-1-BJ48,497430.25,5403988.22,178.9950,0.398834,green,23.49,134.33,201.7669,20.09,0.0,0.0,0.0
WF-1-BJ49,497455.30,5403988.22,175.0690,0.380103,green,23.04,127.66,210.2016,20.34,0.0,0.0,0.0
WF-1-BJ50,497480.35,5403988.22,170.6175,0.358864,green,22.38,120.42,219.2842,20.54,0.0,0.0,0.0
WF-1-BJ51,497505.40,5403988.22,166.1660,0.337625,green,21.72,113.18,228.3669,20.74,0.0,0.0,0.0
