ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
50-14,495394.96,5404813.13,7.00,25.0,100.13,299.7948,0.00,0.0,0.0,0.0
50-15,495558.87,5404339.03,10.70,25.0,94.97,203.8481,0.00,0.0,0.0,0.0
50-16,495724.71,5403865.27,67.88,25.0,62.11,178.5582,0.00,0.0,0.0,0.0
52-17,495869.64,5404980.28,13.79,18.2,76.60,290.7766,0.00,0.0,0.0,0.0
52-18,496022.31,5404502.09,10.80,25.0,118.00,229.7122,4.00,0.0,264.3,0.0
52-19,496166.57,5404015.05,12.20,25.0,91.45,192.8016,0.00,0.0,0.0,0.0
54-16,496497.74,5404659.17,7.30,25.0,115.48,231.9091,0.00,0.0,0.0,0.0
54-17,496655.46,5404184.68,31.63,25.0,88.85,244.4627,15.84,0.0,223.1,0.0
54-18,496814.18,5403710.73,23.18,25.0,95.83,163.4604,0.00,0.0,0.0,0.0
56-18,496675.16,5405766.01,31.36,25.0,73.01,367.9716,0.00,0.0,0.0,0.0
56-20,497136.01,5404331.36,42.30,25.0,153.69,96.3401,4.00,0.0,10.3,0.0
56-22,497291.62,5403856.01,23.99,25.0,194.58,131.9908,0.00,0.0,0.0,0.0
60-18,497934.73,5405121.27,7.78,25.0,85.04,393.3244,4.00,0.0,238.1,0.0
60-20,498232.97,5404152.17,21.95,25.0,90.75,248.8583,19.48,0.0,288.1,0.0
64-24,498879.63,5405400.98,19.68,25.0,126.49,372.1935,0.00,0.0,0.0,0.0
BK12-2,497464.39,5404959.31,14.60,25.0,101.83,356.8387,4.00,0.0,25.8,0.0
BK12-3,497621.50,5404458.17,47.71,25.0,62.24,311.5349,4.00,0.0,263.9,0.0
BK12-4,497754.00,5403998.03,12.19,25.0,62.66,284.3160,20.74,0.0,19.6,0.0
BK12-7,498083.15,5404638.49,19.18,25.0,46.22,388.7325,0.00,0.0,0.0,0.0
BK12-8,498378.44,5403689.89,12.27,25.0,49.23,273.1153,0.00,0.0,0.0,0.0
BK14-9,499027.94,5404918.19,47.18,25.0,119.97,317.0020,0.00,0.0,0.0,0.0
BK17-6,498782.26,5404074.31,33.91,25.0,41.61,284.1628,23.14,0.0,172.2,0.0
BK20-1,498695.79,5404381.00,7.95,25.0,28.60,326.3662,4.00,0.0,109.6,0.0
BK23-3,498046.92,5404790.11,11.42,25.0,111.04,349.5780,4.00,0.0,251.8,0.0
BK23-4,498616.54,5404670.77,23.33,25.0,134.90,305.1006,4.00,0.0,13.1,0.0
BK23-5,496173.39,5405602.25,9.65,25.0,164.54,200.2891,4.00,0.0,91.9,0.0
BK23-6,496830.86,5405285.47,8.21,25.0,123.58,338.9049,4.00,0.0,49.5,0.0
BK23-8,497760.29,5405592.22,9.27,25.0,73.25,417.5623,4.00,0.0,112.0,0.0
BND-1,495394.96,5403689.89,38.98,24.8,83.40,211.3800,0.00,0.0,0.0,0.0
BND-2,499027.94,5403689.89,22.85,25.0,69.48,286.6189,0.00,0.0,0.0,0.0
BND-3,499027.94,5405766.01,21.25,24.9,107.83,339.5717,0.00,0.0,0.0,0.0
BND-4,495394.96,5405766.01,16.48,24.2,108.07,267.2489,0.00,0.0,0.0,0.0
BJ1,495601.82,5404270.61,13.20,24.9,94.85,208.1438,0.00,0.0,0.0,0.0
BJ2,495603.05,5405808.91,16.14,24.3,113.23,264.2561,0.00,0.0,0.0,0.0
BJ3,496085.13,5404207.59,18.33,24.8,97.71,216.3403,0.00,0.0,0.0,0.0
BJ4,496085.13,5404272.58,17.57,24.8,101.72,223.3059,0.00,0.0,0.0,0.0
BJ5,496170.86,5403926.97,15.59,25.0,91.89,197.8029,0.00,0.0,0.0,0.0
BJ6,496177.63,5404207.59,18.02,24.8,97.68,216.1491,0.00,0.0,0.0,0.0
BJ7,498958.81,5405677.69,21.03,25.0,111.76,346.9132,0.00,0.0,0.0,0.0
BJ8,498958.81,5403926.11,26.88,25.0,57.97,288.6053,0.00,0.0,0.0,0.0
WF-1-LOC1,496227.86,5403988.22,13.82,25.0,92.00,196.0740,23.14,0.0,0.0,0.0
WF-1-LOC2,498908.18,5403988.22,29.41,25.0,51.45,287.5308,23.14,0.0,0.0,0.0
WF-1-LOC3,498908.18,5404296.22,19.77,25.0,55.76,306.7199,22.30,0.0,0.0,0.0
WF-1-LOC4,496227.86,5404296.22,18.22,24.8,101.97,226.3203,23.14,0.0,0.0,0.0
WF-2-LOC1,495652.73,5404326.22,12.85,24.9,95.58,209.8109,4.00,0.0,0.0,0.0
WF-2-LOC2,498908.18,5404326.22,18.74,25.0,56.24,309.0029,4.00,0.0,0.0,0.0
WF-2-LOC3,498908.18,5404634.22,24.69,25.0,95.43,312.7855,4.00,0.0,0.0,0.0
WF-2-LOC4,495652.73,5404634.22,13.64,24.1,99.11,252.0223,4.00,0.0,0.0,0.0
WF-3-LOC1,495653.00,5404664.22,13.41,24.0,98.76,256.6714,4.00,0.0,0.0,0.0
WF-3-LOC2,498908.18,5404664.22,26.14,25.0,98.92,313.1420,4.00,0.0,0.0,0.0
WF-3-LOC3,498908.18,5404972.22,39.90,25.0,114.89,319.1359,4.00,0.0,0.0,0.0
WF-3-LOC4,495653.00,5404972.22,13.27,21.6,90.51,279.7063,4.00,0.0,0.0,0.0
WF-4-LOC1,495653.27,5405002.22,13.44,21.5,90.28,279.6850,4.00,0.0,0.0,0.0
WF-4-LOC2,498908.18,5405002.22,38.53,25.0,114.18,320.3597,4.00,0.0,0.0,0.0
WF-4-LOC3,498908.18,5405310.22,20.98,25.0,122.40,363.6212,4.00,0.0,0.0,0.0
WF-4-LOC4,495653.27,5405310.22,14.83,23.0,102.30,268.8693,4.00,0.0,0.0,0.0
WF-5-LOC1,495653.54,5405340.22,14.92,23.2,103.87,267.6498,4.00,0.0,0.0,0.0
WF-5-LOC2,498869.67,5405340.22,20.08,25.0,124.85,369.0049,4.00,0.0,0.0,0.0
WF-5-LOC3,498869.67,5405648.22,20.73,25.0,113.32,350.5288,4.00,0.0,0.0,0.0
WF-5-LOC4,495653.54,5405648.22,15.45,24.1,114.98,260.4654,4.00,0.0,0.0,0.0
WF-1-BJ1,496252.91,5403988.22,14.80,25.0,92.51,198.4229,23.14,0.0,0.0,0.0
WF-1-BJ2,496277.96,5403988.22,15.91,24.9,93.09,201.0825,23.14,0.0,0.0,0.0
WF-1-BJ3,496303.01,5403988.22,17.01,24.9,93.68,203.7486,23.14,0.0,0.0,0.0
WF-1-BJ4,496328.06,5403988.22,18.11,24.9,94.34,206.4727,23.14,0.0,0.0,0.0
WF-1-BJ5,496353.11,5403988.22,19.21,24.9,94.99,209.1968,23.14,0.0,0.0,0.0
WF-1-BJ6,496378.16,5403988.22,20.23,24.9,95.58,211.6475,23.04,0.0,0.0,0.0
WF-1-BJ7,496403.21,5403988.22,21.13,24.9,96.08,213.7013,22.67,0.0,0.0,0.0
WF-1-BJ8,496428.26,5403988.22,22.03,24.9,96.57,215.7552,22.30,0.0,0.0,0.0
WF-1-BJ9,496453.31,5403988.22,22.79,24.9,96.92,217.2676,21.95,0.0,0.0,0.0
WF-1-BJ10,496478.36,5403988.22,23.48,24.9,97.20,218.5633,21.60,0.0,0.0,0.0
WF-1-BJ11,496503.41,5403988.22,24.17,24.9,97.48,219.8448,21.26,0.0,0.0,0.0
WF-1-BJ12,496528.46,5403988.22,24.66,24.9,97.66,220.4363,20.98,0.0,0.0,0.0
WF-1-BJ13,496553.51,5403988.22,25.16,24.9,97.83,221.0277,20.70,0.0,0.0,0.0
WF-1-BJ14,496578.56,5403988.22,25.58,24.9,98.04,221.3684,20.46,0.0,0.0,0.0
WF-1-BJ15,496603.61,5403988.22,25.86,24.9,98.32,221.1912,20.31,0.0,0.0,0.0
WF-1-BJ16,496628.66,5403988.22,26.14,24.9,98.60,221.0140,20.15,0.0,0.0,0.0
WF-1-BJ17,496653.71,5403988.22,26.29,24.9,99.09,220.2931,20.10,0.0,0.0,0.0
WF-1-BJ18,496678.76,5403988.22,26.37,24.9,99.70,219.2561,20.09,0.0,0.0,0.0
WF-1-BJ19,496703.81,5403988.22,26.45,24.9,100.31,218.2191,20.09,0.0,0.0,0.0
WF-1-BJ20,496728.86,5403988.22,26.41,24.9,101.32,216.5523,20.19,0.0,0.0,0.0
WF-1-BJ21,496753.91,5403988.22,26.37,24.9,102.37,214.8444,20.30,0.0,0.0,0.0
WF-1-BJ22,496778.96,5403988.22,26.32,24.9,103.52,213.0782,20.43,0.0,0.0,0.0
WF-1-BJ23,496804.01,5403988.22,26.27,24.9,105.00,211.1322,20.58,0.0,0.0,0.0
WF-1-BJ24,496829.06,5403988.22,26.21,24.9,106.49,209.1862,20.74,0.0,0.0,0.0
WF-1-BJ25,496854.11,5403988.22,26.17,24.9,108.23,207.2493,20.89,0.0,0.0,0.0
WF-1-BJ26,496879.16,5403988.22,26.16,24.9,110.19,205.3198,21.03,0.0,0.0,0.0
WF-1-BJ27,496904.21,5403988.22,26.14,24.9,112.14,203.3903,21.17,0.0,0.0,0.0
WF-1-BJ28,496929.26,5403988.22,26.15,24.9,114.55,201.4099,21.25,0.0,0.0,0.0
WF-1-BJ29,496954.31,5403988.22,26.16,24.9,117.05,199.4209,21.33,0.0,0.0,0.0
WF-1-BJ30,496979.36,5403988.22,26.17,24.9,119.64,197.3869,21.39,0.0,0.0,0.0
WF-1-BJ31,497004.41,5403988.22,26.17,24.9,122.74,195.1222,21.37,0.0,0.0,0.0
WF-1-BJ32,497029.46,5403988.22,26.16,24.9,125.85,192.8574,21.34,0.0,0.0,0.0
WF-1-BJ33,497054.51,5403988.22,26.12,24.9,129.26,190.3815,21.24,0.0,0.0,0.0
WF-1-BJ34,497079.55,5403988.22,26.04,24.9,133.00,187.6667,21.07,0.0,0.0,0.0
WF-1-BJ35,497104.60,5403988.22,25.96,24.9,136.75,184.9519,20.90,0.0,0.0,0.0
WF-1-BJ36,497129.65,5403988.22,25.83,25.0,140.76,181.9807,20.63,0.0,0.0,0.0
WF-1-BJ37,497154.70,5403988.22,25.67,25.0,144.85,178.9351,20.34,0.0,0.0,0.0
WF-1-BJ38,497179.75,5403988.22,25.52,25.0,148.86,175.9509,20.05,0.0,0.0,0.0
WF-1-BJ39,497204.80,5403988.22,25.34,25.0,152.02,173.6562,19.77,0.0,0.0,0.0
WF-1-BJ40,497229.85,5403988.22,25.17,25.0,155.19,171.3615,19.49,0.0,0.0,0.0
WF-1-BJ41,497254.90,5403988.22,25.01,25.0,157.17,170.2309,19.29,0.0,0.0,0.0
WF-1-BJ42,497279.95,5403988.22,24.87,25.0,157.29,170.9384,19.21,0.0,0.0,0.0
WF-1-BJ43,497305.00,5403988.22,24.72,25.0,157.42,171.6458,19.13,0.0,0.0,0.0
WF-1-BJ44,497330.05,5403988.22,24.56,25.0,154.80,175.3671,19.23,0.0,0.0,0.0
WF-1-BJ45,497355.10,5403988.22,24.38,25.0,150.98,180.4181,19.40,0.0,0.0,0.0
WF-1-BJ46,497380.15,5403988.22,24.21,25.0,147.15,185.4691,19.57,0.0,0.0,0.0
WF-1-BJ47,497405.20,5403988.22,23.85,25.0,140.74,193.6180,19.83,0.0,0.0,0.0
WF-1-BJ48,497430.25,5403988.22,23.49,25.0,134.33,201.7669,20.09,0.0,0.0,0.0
WF-1-BJ49,497455.30,5403988.22,23.04,25.0,127.66,210.2016,20.34,0.0,0.0,0.0
WF-1-BJ50,497480.35,5403988.22,22.38,25.0,120.42,219.2842,20.54,0.0,0.0,0.0
WF-1-BJ51,497505.40,5403988.22,21.72,25.0,113.18,228.3669,20.74,0.0,0.0,0.0
WF-1-BJ52,497530.45,5403988.22,20.83,25.0,106.02,237.0920,20.87,0.0,0.0,0.0
WF-1-BJ53,497555.50,5403988.22,19.81,25.0,98.91,245.5909,20.95,0.0,0.0,0.0
WF-1-BJ54,497580.55,5403988.22,18.78,25.0,91.79,254.0897,21.03,0.0,0.0,0.0
WF-1-BJ55,497605.60,5403988.22,17.52,25.0,85.47,261.0294,21.01,0.0,0.0,0.0
WF-1-BJ56,497630.65,5403988.22,16.23,25.0,79.21,267.8306,20.98,0.0,0.0,0.0
WF-1-BJ57,497655.70,5403988.22,15.00,25.0,73.46,273.9578,20.94,0.0,0.0,0.0
WF-1-BJ58,497680.75,5403988.22,13.97,25.0,69.50,277.7578,20.87,0.0,0.0,0.0
WF-1-BJ59,497705.80,5403988.22,12.94,25.0,65.54,281.5577,20.80,0.0,0.0,0.0
WF-1-BJ60,497730.85,5403988.22,12.43,25.0,63.54,283.4956,20.76,0.0,0.0,0.0
WF-1-BJ61,497755.90,5403988.22,12.37,25.0,63.26,283.7872,20.76,0.0,0.0,0.0
WF-1-BJ62,497780.95,5403988.22,12.31,25.0,62.99,284.0787,20.75,0.0,0.0,0.0
WF-1-BJ63,497806.00,5403988.22,12.98,25.0,64.80,282.8932,20.81,0.0,0.0,0.0
WF-1-BJ64,497831.05,5403988.22,13.80,25.0,67.02,281.4197,20.89,0.0,0.0,0.0
WF-1-BJ65,497856.10,5403988.22,14.63,25.0,69.25,279.9619,20.96,0.0,0.0,0.0
WF-1-BJ66,497881.15,5403988.22,15.57,25.0,71.53,278.5976,21.02,0.0,0.0,0.0
WF-1-BJ67,497906.20,5403988.22,16.50,25.0,73.81,277.2333,21.09,0.0,0.0,0.0
WF-1-BJ68,497931.25,5403988.22,17.32,25.0,75.71,276.0478,21.12,0.0,0.0,0.0
WF-1-BJ69,497956.30,5403988.22,17.97,25.0,77.13,275.0816,21.12,0.0,0.0,0.0
WF-1-BJ70,497981.35,5403988.22,18.63,25.0,78.55,274.1154,21.12,0.0,0.0,0.0
WF-1-BJ71,498006.39,5403988.22,19.08,25.0,79.44,273.1910,21.08,0.0,0.0,0.0
WF-1-BJ72,498031.44,5403988.22,19.46,25.0,80.16,272.2802,21.02,0.0,0.0,0.0
WF-1-BJ73,498056.49,5403988.22,19.83,25.0,80.86,271.3655,20.97,0.0,0.0,0.0
