ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
52-18,496022.31,5404502.09,229.0825,0.808866,geo,16.78,284.70,57.0549,21.25,0.0,0.0,0.0
52-19,496166.57,5404015.05,142.1025,0.005321,geo,11.97,92.08,191.6228,25.25,0.0,0.0,0.0
54-17,496655.46,5404184.68,211.5421,0.646823,geo,32.89,217.41,114.9398,15.57,0.0,0.0,0.0
54-18,496814.18,5403710.73,141.5265,0.000000,geo,23.12,96.17,161.7187,19.10,0.0,0.0,0.0
56-20,497136.01,5404331.36,194.1154,0.485831,geo,7.65,237.95,42.0115,31.08,0.0,0.0,0.0
56-22,497291.62,5403856.01,217.3659,0.700625,geo,10.62,278.74,60.7706,15.91,0.0,0.0,0.0
60-20,498232.97,5404152.17,224.4787,0.766335,geo,28.10,253.46,77.9068,19.32,0.0,0.0,0.0
BK12-3,497621.50,5404458.17,249.7719,1.000000,geo,15.80,295.46,110.6545,20.14,0.0,0.0,0.0
BK12-4,497754.00,5403998.03,230.2151,0.819330,geo,20.80,283.31,54.1112,20.69,0.0,0.0,0.0
BK12-8,498378.44,5403689.89,187.6910,0.426481,geo,60.91,140.14,132.2137,17.59,0.0,0.0,0.0
BK17-6,498782.26,5404074.31,174.3708,0.303425,geo,16.58,142.46,199.4998,25.44,0.0,0.0,0.0
BK20-1,498695.79,5404381.00,199.4359,0.534983,geo,24.64,199.59,134.7287,20.21,0.0,0.0,0.0
BND-1,496022.31,5403689.89,174.5890,0.305440,gray,19.42,161.90,136.6053,21.15,0.0,0.0,0.0
BND-2,498782.26,5403689.89,193.1201,0.476636,gray,43.14,170.13,128.0836,19.35,0.0,0.0,0.0
BND-3,498782.26,5404502.09,201.7576,0.556431,gray,23.88,205.61,129.1496,20.59,0.0,0.0,0.0
BND-4,496022.31,5404502.09,229.0825,0.808866,gray,16.78,284.70,57.0549,21.25,0.0,0.0,0.0
