ID,X,Y,厚度Ti,弹模Ei,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
52-18,496022.31,5404502.09,16.78,18.0,284.70,57.0549,21.25,0.0,0.0,0.0
52-19,496166.57,5404015.05,11.97,25.0,92.08,191.6228,25.25,0.0,0.0,0.0
54-17,496655.46,5404184.68,32.89,25.0,217.41,114.9398,15.57,0.0,0.0,0.0
54-18,496814.18,5403710.73,23.12,25.0,96.17,161.7187,19.10,0.0,0.0,0.0
56-20,497136.01,5404331.36,7.65,12.1,237.95,42.0115,31.08,0.0,0.0,0.0
56-22,497291.62,5403856.01,10.62,18.0,278.74,60.7706,15.91,0.0,0.0,0.0
60-20,498232.97,5404152.17,28.10,24.9,253.46,77.9068,19.32,0.0,0.0,0.0
BK12-3,497621.50,5404458.17,15.80,24.9,295.46,110.6545,20.14,0.0,0.0,0.0
BK12-4,497754.00,5403998.03,20.80,18.0,283.31,54.1112,20.69,0.0,0.0,0.0
BK12-8,498378.44,5403689.89,60.91,18.0,140.14,132.2137,17.59,0.0,0.0,0.0
BK17-6,498782.26,5404074.31,16.58,12.1,142.46,199.4998,25.44,0.0,0.0,0.0
BK20-1,498695.79,5404381.00,24.64,18.0,199.59,134.7287,20.21,0.0,0.0,0.0
BND-1,496022.31,5403689.89,19.42,22.5,161.90,136.6053,21.15,0.0,0.0,0.0
BND-2,498782.26,5403689.89,43.14,18.1,170.13,128.0836,19.35,0.0,0.0,0.0
BND-3,498782.26,5404502.09,23.88,18.4,205.61,129.1496,20.59,0.0,0.0,0.0
BND-4,496022.31,5404502.09,16.78,18.0,284.70,57.0549,21.25,0.0,0.0,0.0
