seq,name,thickness,elasticModulus,density,tensileStrength
67,腐殖土,0.6,,,
66,细砂岩,48.1,,,
65,粉砂岩,2.8,,,
64,中砾岩,22.3,,,
63,粗砂岩,1.82,,,
62,中砾岩,23.52,,,
61,粉砂岩,2.59,,,
60,15-4煤,0.9,,,
59,粉砂岩,2.61,,,
58,中砾岩,16.76,,,
57,泥岩,2.1,,,
56,15-5上煤,1.73,,,
55,泥岩,5.7,,,
54,15-5下煤,2.02,,,
53,炭质泥岩,1.6,,,
52,泥岩,3.5,,,
51,中砾岩,0.8,,,
50,粉砂岩,11.25,,,
49,中砾岩,6.2,,,
48,粉砂岩,5.4,,,
47,中砾岩,11.3,,,
46,15-6煤,1,,,
45,中砂岩,4.4,,,
44,粉砂岩,3,,,
43,中砾岩,18.5,,,
42,粉砂岩,3.1,,,
41,泥岩,2.83,,,
40,15-7煤,3.2,,,
39,泥岩,5.85,,,
38,中砾岩,10.67,,,
37,泥岩,3.8,,,
36,中砾岩,29.8,,,
35,粉砂岩,4.6,,,
34,中砾岩,4.2,,,
33,泥岩,7.45,,,
32,16-1煤,1.81,,,
31,粉砂岩,10.5,,,
30,泥岩,0.5,,,
29,粉砂岩,5,,,
28,含砾细砂岩,6.3,,,
27,粗砂岩,11.48,,,
26,细砂岩,3.97,,,
25,粉砂岩,7.2,,,
24,泥岩,2.4,,,
23,粉砂岩,4.7,,,
22,泥岩,8.3,,,
21,16-2上煤,0.49,,,
20,细砂岩,1.4,,,
19,16-2下煤,1.42,,,
18,细砂岩,4.4,,,
17,炭质泥岩,0.5,,,
16,粉砂岩,4.1,,,
15,中砾岩,2,,,
14,粗砂岩,10.13,,,
13,泥岩,3.5,,,
12,中砾岩,17.1,,,
11,16-3上煤,12.18,,,
10,泥岩,4.83,,,
9,16-3中煤,3.34,,,
8,泥岩,3.6,,,
7,16-3煤,21.25,,,
6,泥岩,0.5,,,
5,炭质泥岩,1.7,,,
4,中砾岩,1,,,
3,泥岩,10.4,,,
2,16-4煤,0.6,,,
1,泥岩,15.2,,,
