seq,name,thickness,elasticModulus,density,tensileStrength
72,表土,0.5,,,
71,粉砂岩,15,,,
70,砾岩,23.14,,,
69,黏土,4.71,,,
68,粉砂质泥岩,5.35,,,
67,15-1上煤,0.3,,,
66,泥岩,13.5,,,
65,粉砂质泥岩,1.5,,,
64,泥岩,1.5,,,
63,15-1下煤,1.9,,,
62,泥岩,25.93,,,
61,细砾岩,9.17,,,
60,炭质泥岩,0.3,,,
59,煤,1.2,,,
58,泥岩,13,,,
57,15-2煤,0.8,,,
56,泥岩,6.82,,,
55,煤,0.68,,,
54,粉砂质泥岩,8.15,,,
53,15-3煤,1.63,,,
52,粉砂质泥岩,1.92,,,
51,中砾岩,13.5,,,
50,泥岩,18.7,,,
49,中砾岩,7.6,,,
48,泥岩,12.85,,,
47,15-4煤,0.8,,,
46,泥岩,20.31,,,
45,中砾岩,44.4,,,
44,泥岩,4.01,,,
43,煤,0.7,,,
42,泥岩,2.13,,,
41,粗砾岩,4.21,,,
40,粉砂质泥岩,7.43,,,
39,粗砾岩,1.36,,,
38,粉砂质泥岩,12.37,,,
37,15-6煤,1.6,,,
36,粉砂质泥岩,18.77,,,
35,中砾岩,10.8,,,
34,泥岩,9.26,,,
33,15-7煤,0.3,,,
32,粉砂岩,14.64,,,
31,中砾岩,6.34,,,
30,粉砂岩,43.01,,,
29,中砾岩,13.81,,,
28,粉砂岩,19.34,,,
27,煤,0.7,,,
26,粉砂岩,1.14,,,
25,炭质泥岩,2,,,
24,粉砂岩,0.9,,,
23,煤,0.9,,,
22,粉砂岩,2.23,,,
21,煤,1.3,,,
20,粉砂岩,2.4,,,
19,炭质泥岩,1.5,,,
18,煤,0.8,,,
17,粉砂质泥岩,1.2,,,
16,煤,1,,,
15,粉砂岩,4.7,,,
14,煤,0.75,,,
13,粉砂质泥岩,6.55,,,
12,煤,1.8,,,
11,粉砂质泥岩,4.7,,,
10,16-3上煤,2.26,,,
9,粉砂质泥岩,2.2,,,
8,16-3中煤,1.7,,,
7,粉砂质泥岩,1.4,,,
6,16-3煤,17.9,,,
5,粉砂质泥岩,1.2,,,
4,煤,1.2,,,
3,粉砂质泥岩,4.2,,,
2,16-4煤,4.17,,,
1,细砂岩,6.3,,,
