query,doi,title,authors_first8,container,year,type,publisher,url,score
采区 规划 工作面 布置 煤矿,10.33142/ucp.v1i1.12918,煤矿采矿工程中的采矿工艺与技术分析,麻项庭,城市建设与规划,2024,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ucp.v1i1.12918,69.20668
采区 规划 工作面 布置 煤矿,10.33142/ucp.v1i1.12919,探析煤矿采矿工程关键技术与安全管理工作要点,张伟,城市建设与规划,2024,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ucp.v1i1.12919,67.496605
采区 规划 工作面 布置 煤矿,10.37155/2811-0609-0316-49,煤矿开采中的巷道布置以及采煤工艺探讨,崔　洲,工程施工新技术,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0316-49,66.181274
采区 规划 工作面 布置 煤矿,10.37155/2811-0609-0310-54,煤矿开采中的巷道布置以及采煤工艺探讨,王　浩,工程施工新技术,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0310-54,65.99939
采区 规划 工作面 布置 煤矿,10.26789/jnhb.v7i2.756,煤矿采掘工作面雾森喷雾装置研究与应用,超松顾,节能环保,2022,journal-article,Urban Development Scientific Publishing Pte Ltd,https://doi.org/10.26789/jnhb.v7i2.756,64.960625
采区 规划 工作面 布置 煤矿,10.37155/2717-5189-0609-27,煤矿综采工作面智能化开采,周鑫源,工程管理与技术探讨,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0609-27,61.362038
采区 规划 工作面 布置 煤矿,10.37155/2972-435x-0301-30,井工煤矿放顶煤工作面矿压规律与控制技术研究,崔格日乐吐,工程施工与管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2972-435x-0301-30,60.98448
采区 规划 工作面 布置 煤矿,10.37155/2717-5588-0506-3,井工煤矿采矿工程中的巷道布置与优化,马永家,建筑设计与研究,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5588-0506-3,60.500664
采区 规划 工作面 布置 煤矿,10.33142/ec.v5i9.6804,综采工作面矿压显现规律探析,密夫顺,工程建设,2022,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v5i9.6804,59.2008
采区 规划 工作面 布置 煤矿,10.37155/2717-5316-0420-21,煤矿回采工作面矿压及顶板管理分析,杨瑞亮,工程学研究与实用,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5316-0420-21,59.162
采区 规划 工作面 布置 煤矿,10.37155/2811-0625-0315-35,提高煤矿综采工作面回采效率的技术措施,赵　勇,现代工程项目管理,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0315-35,59.01673
采区 规划 工作面 布置 煤矿,10.37155/2717-5316-0403-43,浅谈煤矿综采工作面智能化开采技术,贾文龙,工程学研究与实用,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5316-0403-43,58.90719
采区 规划 工作面 布置 煤矿,10.37155/2717-5189-0616-21,煤矿采煤工作面囊袋封堵漏风技术探究,张银辉,工程管理与技术探讨,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0616-21,58.23555
采区 规划 工作面 布置 煤矿,10.36012/etr.v1i2.295,煤矿综采工作面顶板安全管理研究,焦春雷,工程技术研究,2019,journal-article,Encyclopaedic Publishing Pte Ltd,https://doi.org/10.36012/etr.v1i2.295,57.77042
采区 规划 工作面 布置 煤矿,10.37155/2811-0609-0303-29,煤矿综采工作面三机配套技术分析,李卓宜,工程施工新技术,2024,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0609-0303-29,57.537086
采区 规划 工作面 布置 煤矿,10.37155/2717-557x-0701-46,采矿工程中对拉回采工作面采煤工艺技术及安全管理研究分析,张　伟,城市建筑与发展,2026,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-557x-0701-46,57.409058
采区 规划 工作面 布置 煤矿,10.37155/3041-0827-0103-33,煤矿采矿作业中采矿工艺技术研究,闫　宙,工程技术与质量管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/3041-0827-0103-33,57.231125
采区 规划 工作面 布置 煤矿,10.36012/etr.v1i2.285,煤矿采掘工作面顶板管理的问题研究,姜彦光,工程技术研究,2019,journal-article,Encyclopaedic Publishing Pte Ltd,https://doi.org/10.36012/etr.v1i2.285,57.105167
采区 规划 工作面 布置 煤矿,10.37155/2717-557x-0606-7,煤矿用聚酯纤维柔性网在贺驼煤矿综采工作面的应用,超姜,城市建筑与发展,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-557x-0606-7,57.097347
采区 规划 工作面 布置 煤矿,10.37155/2972-4333-0307-13,煤矿综采工作面自动化技术研究,勇官,工程技术创新与发展,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2972-4333-0307-13,56.771523
采区规划 工作面布置 优化 煤矿,10.33142/ec.v2i9.687,注浆配比参数优化在煤矿采空区治理中的应用,王永健,工程建设,2019,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v2i9.687,64.02418
采区规划 工作面布置 优化 煤矿,10.37155/2811-0625-0412-67,化工园区给排水管网布局与优化规划研究,蒋成笛,现代工程项目管理,2025,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0412-67,63.502953
采区规划 工作面布置 优化 煤矿,10.33142/ec.v8i10.18246,工作面回采进入巷道保护煤柱优化分析,张伯南,工程建设,2025,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ec.v8i10.18246,63.085236
采区规划 工作面布置 优化 煤矿,10.69979/3060-8767.26.01.018,煤矿智能化采煤工作面设备协同控制与调度策略,,当代水电科技,2025,journal-article,Singapore Juzhi Journal Publishing PTE. Ltd.,https://doi.org/10.69979/3060-8767.26.01.018,62.193214
采区规划 工作面布置 优化 煤矿,10.64216/3080-1508.26.01.067,工业园区安全规划与应急资源优化配置研究,,工程技术论坛,2025,journal-article,"Hong Kong Anmai Publishing Co., Ltd.",https://doi.org/10.64216/3080-1508.26.01.067,62.14762
采区规划 工作面布置 优化 煤矿,10.37155/2717-5189-0416-68,煤矿综采工作面自动化技术的应用,杨瑞亮,工程管理与技术探讨,2022,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5189-0416-68,61.906357
采区规划 工作面布置 优化 煤矿,10.69979/3041-0673.25.07.038,综采放顶煤开采工艺在厚煤层煤矿的效率优化分析,,科技创新发展,2025,journal-article,Singapore Juzhi Journal Publishing PTE. Ltd.,https://doi.org/10.69979/3041-0673.25.07.038,61.892014
采区规划 工作面布置 优化 煤矿,10.37155/2811-0625-0205-6,煤矿综采工作面智能化技术及装备发展研究,马中骐,现代工程项目管理,2023,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2811-0625-0205-6,60.0101
采区规划 工作面布置 优化 煤矿,10.37155/2717-5197-0405-1,煤矿综采工作面智能化技术与装备发展研究,秦和平,机械与电子控制工程,2022,journal-article,Omniscient Pte Ltd,https://doi.org/10.37155/2717-5197-0405-1,58.828426
覆岩 扰动 采区规划 煤矿,10.33142/9798957329244,矿区规划及矿山建设分析研究,郭金伟,,2025,edited-book,Viser Technology Pte. Ltd.,https://doi.org/10.33142/9798957329244,50.792866
覆岩 扰动 采区规划 煤矿,10.33142/ucp.v2i5.17939,煤矿开采掘进中支护技术研究与应用,韩建国,城市建设与规划,2025,journal-article,Viser Technology Pte Ltd,https://doi.org/10.33142/ucp.v2i5.17939,50.505775
