ref_no,doi,status,source_type,source_url,title,authors,journal,year,note
26,10.13199/j.cnki.cst.2020.09.001,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2020/9/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202009001.html,煤矿绿色开采20年研究及进展,许家林,煤炭科学技术,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
27,10.13199/j.cnki.cst.2020.01.001,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2020/1/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202001001.html,煤矿智能化标准体系框架与建设思路,王国法; 杜毅博,煤炭科学技术,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
28,10.13199/j.cnki.cst.2020.07.001,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2020/7/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF202007001.html,煤矿智能化(初级阶段)技术体系研究与工程进展,王国法; 任怀伟; 庞义辉; 等,煤炭科学技术,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
29,10.13199/j.cnki.cst.2019.10.012,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2019/10/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF201910012.html,智能化开采研究进展与发展趋势,李首滨,煤炭科学技术,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
30,10.13199/j.cnki.cst.2019.07.019,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtkxjs.com.cn/fileMTKXJS/journal/article/mtkxjs/html/2019/7/%E7%85%A4%E7%82%AD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF201907019.html,透明工作面的概念、架构与关键技术,王存飞; 荣耀,煤炭科学技术,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
31,10.13225/j.cnki.jccs.KJ19.0510,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/8/20190916%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201908002.html,煤炭智能精准开采工作面地质模型梯级构建及其关键技术,程建远; 朱梦博; 王云宏; 等,煤炭学报,2019,期刊中文引用行使用 KJ19.0510；同页英文行疑有 KJ18.0510 录入差异，正文采用中文引用行 DOI。
32,10.13225/j.cnki.jccs.ZN20.0364,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2020/6/%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5202006006.html,采煤工作面煤层三维模型构建及动态修正技术,刘万里; 张学亮; 王世博,煤炭学报,2020,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
33,10.13225/j.cnki.jccs.2018.6041,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/3/20190412%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201903012.html,干旱矿区采动顶板导水裂隙的演化规律及保水采煤意义,徐智敏; 孙亚军; 高尚; 等,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
34,10.13225/j.cnki.jccs.SH19.0446,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/12/%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201912013.html,采动覆岩导水裂隙主通道分布模型及其水流动特性,曹志国; 鞠金峰; 许家林,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
35,10.13225/j.cnki.jccs.2018.6038,VERIFIED_BY_JOURNAL_PAGE,journal_html_or_pdf,https://www.mtxb.com.cn/fileMTXB/journal/article/mtxb/html/2019/3/20190412%E7%85%A4%E7%82%AD%E5%AD%A6%E6%8A%A5201903011.html,覆岩破坏充分采动程度定义及判别方法,郭文兵; 娄高中,煤炭学报,2019,期刊网页给出题名、作者、期刊、年卷期页码和 DOI。
