ref_no,doi,status,source_type,source_url,title,authors,journal,year,note
1,10.3390/su142416400,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.3390/su142416400,Review on Improvements to the Safety Level of Coal Mines by Applying Intelligent Coal Mining,Wu Xuefei; Li Hongxia; Wang Baoli; Zhu Mengbo,Sustainability,2022,????/?????????=YES
2,10.1007/s40789-022-00491-3,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1007/s40789-022-00491-3,Research and practice of intelligent coal mine technology systems in China,Wang Guofa; Ren Huaiwei; Zhao Guorui; Zhang Desheng; Wen Zhiguo; Meng Lingyu,International Journal of Coal Science &amp; Technology,2022,????/?????????=YES
3,10.3390/en15020513,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.3390/en15020513,A Review of Intelligent Unmanned Mining Current Situation and Development Trend,Zhang Kexue; Kang Lei; Chen Xuexi; He Manchao; Zhu Chun; Li Dong,Energies,2022,????/?????????=YES
4,10.1038/s41598-023-42148-4,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1038/s41598-023-42148-4,On strata damage and stress disturbance induced by coal mining based on physical similarity simulation experiments,Yang Yi; Li Yingchun; Wang Lujun; Wu Yang,Scientific Reports,2023,????/?????????=YES
5,10.1016/j.enggeo.2024.107802,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1016/j.enggeo.2024.107802,Evolution characteristics of mining-induced fractures in overburden strata under close-multi coal seams mining based on optical fiber monitoring,Ren Yiwei; Yuan Qiang; Chen Jie; Wang Ze; Zhang Dingding; Li Shujun,Engineering Geology,2024,????/?????????=YES
6,10.1016/j.jappgeo.2025.105876,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1016/j.jappgeo.2025.105876,Spatiotemporal evolution patterns of mining-induced overburden damage based on microseismic event response analysis,Yang Xiao; Shi Longqing; Qiu Mei; Han Jin; Qu Xingyue; Fu Song,Journal of Applied Geophysics,2025,????/?????????=YES
7,10.3389/feart.2024.1375979,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.3389/feart.2024.1375979,Study on overburden failure characteristics and ground pressure behavior in shallow coal seam mining underneath the gully,Zhang Jie; Wang Li; Yang Tao; Gao Shoushi; He Yifeng; Wu Jianjun,Frontiers in Earth Science,2024,????/?????????=YES
8,10.1038/s41598-021-98520-9,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1038/s41598-021-98520-9,Subsidence prediction of overburden strata and ground surface in shallow coal seam mining,Cao Jian; Huang Qingxiang; Guo Lingfei,Scientific Reports,2021,????/?????????=YES
9,10.2113/eeg-d-21-00073,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.2113/eeg-d-21-00073,Unearthing Underground Mining–Induced Strata Disturbance by Electrical Resistivity Tomography Interpretation,Prakash Amar; Bharti Abhay Kumar; Verma Aniket,Environmental &amp; Engineering Geoscience,2022,????/?????????=YES
10,10.3390/su132413775,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.3390/su132413775,Characteristics of Overburden Failure and Fracture Evolution in Shallow Buried Working Face with Large Mining Height,Shi Xiuchang; Zhang Jixing,Sustainability,2021,????/?????????=YES
11,10.1016/j.resourpol.2019.101408,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1016/j.resourpol.2019.101408,The integrated optimization of underground stope layout designing and production scheduling incorporating a non-dominated sorting genetic algorithm (NSGA-II),Foroughi Sorayya; Hamidi Jafar Khademi; Monjezi Masoud; Nehring Micah,Resources Policy,2019,????/?????????=YES
12,10.1080/17480930.2025.2532460,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1080/17480930.2025.2532460,Multi-objective optimisation based on NSGA-II of mine cut-off grade from the perspective of resource security,Shan Yang; Ke Li; Jun Xiang; Shuai Li,"International Journal of Mining, Reclamation and Environment",2025,????/?????????=YES
13,10.1109/access.2020.2972018,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1109/access.2020.2972018,A Multi-Objective Optimization Model Using Improved NSGA-II for Optimizing Metal Mines Production Process,Gu Xiaowei; Wang Xunhong; Liu Zaobao; Zha Wenhua; Xu Xiaochuan; Zheng Minggui,IEEE Access,2020,????/?????????=YES
14,10.1016/j.ejor.2021.01.011,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1016/j.ejor.2021.01.011,Underground mine scheduling under uncertainty,Nesbitt Peter; Blake Lewis R.; Lamas Patricio; Goycoolea Marcos; Pagnoncelli Bernardo K.; Newman Alexandra,European Journal of Operational Research,2021,????/?????????=YES
15,10.1109/CEC60901.2024.10612008,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1109/cec60901.2024.10612008,Multi-Objective Evolutionary Optimization for Large-Scale Open Pit Mine Scheduling,Pathiranage Ishara Hewa; Neumann Aneta,2024 IEEE Congress on Evolutionary Computation (CEC),2024,????/?????????=YES
16,10.1016/B978-0-323-91300-3.00008-5,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1016/b978-0-323-91300-3.00008-5,Production process management for intelligent coal mining based on digital twin,Zhang Xuhui; Lv Xinyuan; Wang Yan; Fan Hongwei,Digital Twin Driven Service,2022,????/?????????=YES
17,10.1080/25726668.2023.2257479,VERIFIED_BY_CROSSREF,Crossref DOI API,https://doi.org/10.1080/25726668.2023.2257479,Digital twins in the minerals industry – a comprehensive review,Qu Juncong; Kizil Mehmet S.; Yahyaei Mohsen; Knights Peter F.,Mining Technology: Transactions of the Institutions of Mining and Metallurgy,2023,????/?????????=YES
