ref_no,doi,status,crossref_title,crossref_authors_first6,crossref_container,crossref_year,crossref_type,crossref_url,title_match,error,original_ref
1,10.3390/su142416400,VERIFIED,Review on Improvements to the Safety Level of Coal Mines by Applying Intelligent Coal Mining,Wu Xuefei; Li Hongxia; Wang Baoli; Zhu Mengbo,Sustainability,2022,journal-article,https://doi.org/10.3390/su142416400,YES,,"[1]	WU Xuefei, LI Hongxia, WANG Baoli, et al. Review on improvements to the safety level of coal mines by applying intelligent coal mining[J]. Sustainability, 2022, 14(24): 16400. DOI: 10.3390/su142416400."
2,10.1007/s40789-022-00491-3,VERIFIED,Research and practice of intelligent coal mine technology systems in China,Wang Guofa; Ren Huaiwei; Zhao Guorui; Zhang Desheng; Wen Zhiguo; Meng Lingyu,International Journal of Coal Science &amp; Technology,2022,journal-article,https://doi.org/10.1007/s40789-022-00491-3,YES,,"[2]	WANG Guofa, REN Huaiwei, ZHAO Guorui, et al. Research and practice of intelligent coal mine technology systems in China[J]. International Journal of Coal Science & Technology, 2022, 9(1). DOI: 10.1007/s40789-022-00491-3."
3,10.3390/en15020513,VERIFIED,A Review of Intelligent Unmanned Mining Current Situation and Development Trend,Zhang Kexue; Kang Lei; Chen Xuexi; He Manchao; Zhu Chun; Li Dong,Energies,2022,journal-article,https://doi.org/10.3390/en15020513,YES,,"[3]	ZHANG Kexue, KANG Lei, CHEN Xuexi, et al. A review of intelligent unmanned mining current situation and development trend[J]. Energies, 2022, 15(2): 513. DOI: 10.3390/en15020513."
4,10.1038/s41598-023-42148-4,VERIFIED,On strata damage and stress disturbance induced by coal mining based on physical similarity simulation experiments,Yang Yi; Li Yingchun; Wang Lujun; Wu Yang,Scientific Reports,2023,journal-article,https://doi.org/10.1038/s41598-023-42148-4,YES,,"[4]	YANG Yi, LI Yingchun, WANG Lujun, et al. On strata damage and stress disturbance induced by coal mining based on physical similarity simulation experiments[J]. Scientific Reports, 2023, 13(1). DOI: 10.1038/s41598-023-42148-4."
5,10.1016/j.enggeo.2024.107802,VERIFIED,Evolution characteristics of mining-induced fractures in overburden strata under close-multi coal seams mining based on optical fiber monitoring,Ren Yiwei; Yuan Qiang; Chen Jie; Wang Ze; Zhang Dingding; Li Shujun,Engineering Geology,2024,journal-article,https://doi.org/10.1016/j.enggeo.2024.107802,YES,,"[5]	REN Yiwei, YUAN Qiang, CHEN Jie, et al. Evolution characteristics of mining-induced fractures in overburden strata under close-multi coal seams mining based on optical fiber monitoring[J]. Engineering Geology, 2024, 343: 107802. DOI: 10.1016/j.enggeo.2024.107802."
6,10.1016/j.jappgeo.2025.105876,VERIFIED,Spatiotemporal evolution patterns of mining-induced overburden damage based on microseismic event response analysis,Yang Xiao; Shi Longqing; Qiu Mei; Han Jin; Qu Xingyue; Fu Song,Journal of Applied Geophysics,2025,journal-article,https://doi.org/10.1016/j.jappgeo.2025.105876,YES,,"[6]	YANG Xiao, SHI Longqing, QIU Mei, et al. Spatiotemporal evolution patterns of mining-induced overburden damage based on microseismic event response analysis[J]. Journal of Applied Geophysics, 2025, 242: 105876. DOI: 10.1016/j.jappgeo.2025.105876."
7,10.3389/feart.2024.1375979,VERIFIED,Study on overburden failure characteristics and ground pressure behavior in shallow coal seam mining underneath the gully,Zhang Jie; Wang Li; Yang Tao; Gao Shoushi; He Yifeng; Wu Jianjun,Frontiers in Earth Science,2024,journal-article,https://doi.org/10.3389/feart.2024.1375979,YES,,"[7]	ZHANG Jie, WANG Li, YANG Tao, et al. Study on overburden failure characteristics and ground pressure behavior in shallow coal seam mining underneath the gully[J]. Frontiers in Earth Science, 2024, 12. DOI: 10.3389/feart.2024.1375979."
8,10.1038/s41598-021-98520-9,VERIFIED,Subsidence prediction of overburden strata and ground surface in shallow coal seam mining,Cao Jian; Huang Qingxiang; Guo Lingfei,Scientific Reports,2021,journal-article,https://doi.org/10.1038/s41598-021-98520-9,YES,,"[8]	CAO Jian, HUANG Qingxiang, GUO Lingfei. Subsidence prediction of overburden strata and ground surface in shallow coal seam mining[J]. Scientific Reports, 2021, 11(1). DOI: 10.1038/s41598-021-98520-9."
9,10.2113/eeg-d-21-00073,VERIFIED,Unearthing Underground Mining–Induced Strata Disturbance by Electrical Resistivity Tomography Interpretation,Prakash Amar; Bharti Abhay Kumar; Verma Aniket,Environmental &amp; Engineering Geoscience,2022,journal-article,https://doi.org/10.2113/eeg-d-21-00073,YES,,"[9]	PRAKASH Amar, BHARTI Abhay Kumar, VERMA Aniket. Unearthing underground mining-induced strata disturbance by electrical resistivity tomography interpretation[J]. Environmental & Engineering Geoscience, 2022, 28(4): 361-369. DOI: 10.2113/eeg-d-21-00073."
10,10.3390/su132413775,VERIFIED,Characteristics of Overburden Failure and Fracture Evolution in Shallow Buried Working Face with Large Mining Height,Shi Xiuchang; Zhang Jixing,Sustainability,2021,journal-article,https://doi.org/10.3390/su132413775,YES,,"[10]	SHI Xiuchang, ZHANG Jixing. Characteristics of overburden failure and fracture evolution in shallow buried working face with large mining height[J]. Sustainability, 2021, 13(24): 13775. DOI: 10.3390/su132413775."
11,10.1016/j.resourpol.2019.101408,VERIFIED,The integrated optimization of underground stope layout designing and production scheduling incorporating a non-dominated sorting genetic algorithm (NSGA-II),Foroughi Sorayya; Hamidi Jafar Khademi; Monjezi Masoud; Nehring Micah,Resources Policy,2019,journal-article,https://doi.org/10.1016/j.resourpol.2019.101408,YES,,"[11]	FOROUGHI Sorayya, HAMIDI Jafar Khademi, MONJEZI Masoud, et al. The integrated optimization of underground stope layout designing and production scheduling incorporating a non-dominated sorting genetic algorithm (NSGA-II)[J]. Resources Policy, 2019, 63: 101408. DOI: 10.1016/j.resourpol.2019.101408."
12,10.1080/17480930.2025.2532460,VERIFIED,Multi-objective optimisation based on NSGA-II of mine cut-off grade from the perspective of resource security,Shan Yang; Ke Li; Jun Xiang; Shuai Li,"International Journal of Mining, Reclamation and Environment",2025,journal-article,https://doi.org/10.1080/17480930.2025.2532460,YES,,"[12]	SHAN Yang, KE Li, XIANG Jun, et al. Multi-objective optimisation based on NSGA-II of mine cut-off grade from the perspective of resource security[J]. International Journal of Mining, Reclamation and Environment, 2025: 1-20. DOI: 10.1080/17480930.2025.2532460."
13,10.1109/access.2020.2972018,VERIFIED,A Multi-Objective Optimization Model Using Improved NSGA-II for Optimizing Metal Mines Production Process,Gu Xiaowei; Wang Xunhong; Liu Zaobao; Zha Wenhua; Xu Xiaochuan; Zheng Minggui,IEEE Access,2020,journal-article,https://doi.org/10.1109/access.2020.2972018,YES,,"[13]	GU Xiaowei, WANG Xunhong, LIU Zaobao, et al. A multi-objective optimization model using improved NSGA-II for optimizing metal mines production process[J]. IEEE Access, 2020, 8: 28847-28858. DOI: 10.1109/access.2020.2972018."
14,10.1016/j.ejor.2021.01.011,VERIFIED,Underground mine scheduling under uncertainty,Nesbitt Peter; Blake Lewis R.; Lamas Patricio; Goycoolea Marcos; Pagnoncelli Bernardo K.; Newman Alexandra,European Journal of Operational Research,2021,journal-article,https://doi.org/10.1016/j.ejor.2021.01.011,YES,,"[14]	NESBITT Peter, BLAKE Lewis R., LAMAS Patricio, et al. Underground mine scheduling under uncertainty[J]. European Journal of Operational Research, 2021, 294(1): 340-352. DOI: 10.1016/j.ejor.2021.01.011."
15,10.1109/CEC60901.2024.10612008,VERIFIED,Multi-Objective Evolutionary Optimization for Large-Scale Open Pit Mine Scheduling,Pathiranage Ishara Hewa; Neumann Aneta,2024 IEEE Congress on Evolutionary Computation (CEC),2024,proceedings-article,https://doi.org/10.1109/cec60901.2024.10612008,YES,,"[15]	PATHIRANAGE Ishara Hewa, NEUMANN Aneta. Multi-objective evolutionary optimization for large-scale open pit mine scheduling[C]//2024 IEEE Congress on Evolutionary Computation (CEC). 2024: 1-8. DOI: 10.1109/CEC60901.2024.10612008."
16,10.1016/B978-0-323-91300-3.00008-5,VERIFIED,Production process management for intelligent coal mining based on digital twin,Zhang Xuhui; Lv Xinyuan; Wang Yan; Fan Hongwei,Digital Twin Driven Service,2022,book-chapter,https://doi.org/10.1016/b978-0-323-91300-3.00008-5,YES,,"[16]	ZHANG Xuhui, LV Xinyuan, WANG Yan, et al. Production process management for intelligent coal mining based on digital twin[M]//Digital Twin Driven Service. 2022: 251-277. DOI: 10.1016/B978-0-323-91300-3.00008-5."
17,10.1080/25726668.2023.2257479,VERIFIED,Digital twins in the minerals industry – a comprehensive review,Qu Juncong; Kizil Mehmet S.; Yahyaei Mohsen; Knights Peter F.,Mining Technology: Transactions of the Institutions of Mining and Metallurgy,2023,journal-article,https://doi.org/10.1080/25726668.2023.2257479,YES,,"[17]	QU Juncong, KIZIL Mehmet S., YAHYAEI Mohsen, et al. Digital twins in the minerals industry: a comprehensive review[J]. Mining Technology, 2023, 132(4): 267-289. DOI: 10.1080/25726668.2023.2257479."
18,10.1016/j.tust.2020.103393,VERIFIED,"3D scene and geological modeling using integrated multi-source spatial data: Methodology, challenges, and suggestions",Pan Dongdong; Xu Zhenhao; Lu Xinming; Zhou Longquan; Li Haiyan,Tunnelling and Underground Space Technology,2020,journal-article,https://doi.org/10.1016/j.tust.2020.103393,YES,,"[18]	PAN Dongdong, XU Zhenhao, LU Xinming, et al. 3D scene and geological modeling using integrated multi-source spatial data: methodology, challenges, and suggestions[J]. Tunnelling and Underground Space Technology, 2020, 100: 103393. DOI: 10.1016/j.tust.2020.103393."
19,10.4197/eng.34-2.6,VERIFIED,Continuous Cash Flow Modeling for Economic Evaluation and Risk Analysis in Mine Planning Using Monte Carlo Simulation,Ahmed Haitham M.; Adewuyi Sefiu; Ahmed Hussin M. A.,Journal of King Abdulaziz University: Engineering Sciences,2024,journal-article,https://doi.org/10.4197/eng.34-2.6,YES,,"[19]	AHMED Haitham M., ADEWUYI Sefiu, AHMED Hussin M. A. Continuous cash flow modeling for economic evaluation and risk analysis in mine planning using Monte Carlo simulation[J]. Journal of King Abdulaziz University: Engineering Sciences, 2024, 34(2). DOI: 10.4197/eng.34-2.6."
20,10.3390/app13159011,VERIFIED,Investigation into Mining Economic Evaluation Approaches Based on the Rosenblueth Point Estimate Method,Li Jiaoqun; Wu Tong; Lu Zengxiang; Wu Saisai,Applied Sciences,2023,journal-article,https://doi.org/10.3390/app13159011,YES,,"[20]	LI Jiaoqun, WU Tong, LU Zengxiang, et al. Investigation into mining economic evaluation approaches based on the Rosenblueth point estimate method[J]. Applied Sciences, 2023, 13(15): 9011. DOI: 10.3390/app13159011."
