ID,Cat,X,Y,ODI,ODI_norm,Ti,Hi,Di,Mi
50-14,geo,495394.96,5404813.13,117.31024779455367,0.21827999666778178,6.996516365089617,100.13195557583644,299.79483426831183,27.826218879043033
50-15,geo,495558.87,5404339.03,99.82754454684577,0.12151567954120955,10.696360676642431,94.96552460358399,203.8480567905465,25.243719603624143
50-16,geo,495724.71,5403865.27,105.97109565660297,0.1555193756198346,67.87786737238224,62.1096652499601,178.55824439614832,19.069490480429224
52-17,geo,495869.64,5404980.28,114.88239115551501,0.20484214976109177,13.787253202218185,76.59884942068692,290.77660401637337,41.902817485575525
52-18,geo,496022.31,5404502.09,112.26696699726104,0.19036614287108372,10.802438843099559,118.00361709832347,229.71224033079937,21.451395421333828
52-19,geo,496166.57,5404015.05,97.20293440251562,0.10698882950313676,12.199581667065164,91.445568185978,192.80155455820483,25.23534145095644
54-16,geo,496497.74,5404659.17,110.14744002658975,0.17863485755196418,7.299661205137876,115.48496899530309,231.909098093961,22.128474198660147
54-17,geo,496655.46,5404184.68,108.94942324682563,0.17200400224557735,31.632076585747054,88.85049918662209,244.4626534248036,15.835807313952996
54-18,geo,496814.18,5403710.73,96.50413350838201,0.10312106429713852,23.183162331400297,95.82689997510062,163.46037774927933,19.168404565986965
56-18,geo,496675.16,5405766.01,133.37407283466,0.307191021377328,31.35688348996579,73.00938163099495,367.97156700493304,37.04692642415366
56-20,geo,497136.01,5404331.36,126.97687899113177,0.27178344824492473,42.302542426066445,153.68644247985495,96.34014280397436,30.708083012195786
56-22,geo,497291.62,5403856.01,134.06850435587677,0.3110346027153866,23.986753969365452,194.58296740663815,131.99082698946356,16.22456554912522
60-18,geo,497934.73,5405121.27,134.51618818796453,0.31351247010733346,7.779613353427024,85.03859004071307,393.3243889503244,43.132867854818635
60-20,geo,498232.97,5404152.17,107.70936844402452,0.16514047236164436,21.953776901034665,90.74516898742826,248.8583234878655,19.481153011911772
64-24,geo,498879.63,5405400.98,144.28456644216075,0.3675790774167769,19.677945541612143,126.4920940458836,372.1935098688027,22.685013884949218
BK12-2,geo,497464.39,5404959.31,135.30666871865955,0.31788766927823875,14.60483496032637,101.83285177536301,356.83871846581263,35.56832799192592
BK12-3,geo,497621.5,5404458.17,118.41942863997431,0.2244191575032821,47.71126722422848,62.24286425580121,311.53493637598046,20.34503793570063
BK12-4,geo,497754,5403998.03,96.86982636763747,0.10514512312274134,12.194059716264915,62.65869693390099,284.31600565322884,20.744470752296728
BK12-7,geo,498083.15,5404638.49,108.69659416304648,0.17060462863069698,19.176510551953626,46.220981428689576,388.73251817333505,18.32947883343106
BK12-8,geo,498378.44,5403689.89,87.47243845298175,0.053131895451306546,12.271841550530773,49.22906775544344,273.11533575653414,17.710084287159976
BK14-9,geo,499027.9391,5404918.19,144.57643368276973,0.3691945217693457,47.183947454547656,119.96733261235146,317.0020155563583,20.113803947222486
BK17-6,geo,498782.26,5404074.31,100.6929896441984,0.12630579710308298,33.90684523957599,41.61461319480937,284.1627637214279,25.335910803331167
BK20-1,geo,498695.79,5404381,86.29050759596568,0.04659007347735187,7.951356513242335,28.60157438033999,326.3661707269399,20.38220845540492
BK23-3,geo,498046.92,5404790.11,129.96307565195409,0.28831162907576996,11.424368794551016,111.04053318145104,349.5779966989163,23.234686252994607
BK23-4,geo,498616.54,5404670.77,137.87651696281125,0.33211141985850795,23.32672756065915,134.90001531923156,305.10055826176267,20.796951967260117
BK23-5,geo,496173.39,5405602.25,137.5864922188317,0.33050617346706845,9.64811541889802,164.53803905874395,200.28909911698577,39.89267808046772
BK23-6,geo,496830.86,5405285.47,137.73577790943563,0.33133244888359775,8.206169740141071,123.57734865078113,338.9048514908885,33.43188835734563
BK23-8,geo,497760.29,5405592.22,132.04307518800925,0.29982413557309057,9.273012685153304,73.24756997062292,417.5623351650098,39.59987951411134
BND-1,gray,495394.96,5403689.89,108.35928958348134,0.16873769496244026,38.97680814077955,83.40445225720815,211.37999341531156,22.534437268211356
BND-2,gray,499027.9391,5403689.89,106.56495309166786,0.1588062934585919,22.85316748544127,69.4792632033663,286.61893567941274,22.66203398502966
BND-3,gray,499027.9391,5405766.01,132.63115526038507,0.3030790765174581,21.245083040793368,107.82706450594564,339.57174223484174,24.87973815684942
BND-4,gray,495394.96,5405766.01,121.88811108823002,0.2436178296810756,16.478237061038186,108.06646106349348,267.2489380055088,31.23521360538112
BJ1,blue,495601.8241,5404270.607,101.60510888992093,0.13135424954775374,13.200146275778724,94.84693039488405,208.14380219984338,25.078399514020354
BJ2,blue,495603.0531,5405808.912,124.1687002364006,0.25624057162448355,16.13711708294668,113.23441761252559,264.2560668227804,32.37479210725365
BJ3,blue,496085.1344,5404207.591,106.08613245833186,0.1561560882269184,18.33256978994372,97.70666377175841,216.34034548582486,23.909223069656232
BJ4,blue,496085.1344,5404272.579,108.45490673762825,0.16926692253643258,17.565436718006495,101.7249939099088,223.30586171428237,23.607202149328693
BJ5,blue,496170.8574,5403926.975,99.57786273464907,0.12013372563432127,15.591730792946965,91.88699946313521,197.80285364523482,24.6796942290896
BJ6,blue,496177.6283,5404207.591,105.84988796133464,0.15484850798014832,18.024407900500726,97.67849475227635,216.1490501233559,23.8281192573099
BJ7,blue,498958.8109,5405677.692,135.21312118175032,0.31736989674617444,21.034339681631938,111.76101008974648,346.9132081643023,24.399373405657528
