ID,Cat,X,Y,ODI,ODI_norm,Ti,Hi,Di,Mi
50-14,geo,495394.96,5404813.13,217.01005036653564,0.5644016553406208,6.996516365089617,100.13195557583644,299.79483426831183,27.826218879043033
50-15,geo,495558.87,5404339.03,188.13440747945734,0.3399031989849376,10.696360676642431,94.96552460358399,203.8480567905465,25.243719603624143
50-16,geo,495724.71,5403865.27,192.16135200289978,0.3712113444997636,67.87786737238224,62.1096652499601,178.55824439614832,19.069490480429224
52-17,geo,495869.64,5404980.28,213.25078245915978,0.5351746059019743,13.787253202218185,76.59884942068692,290.77660401637337,41.902817485575525
52-18,geo,496022.31,5404502.09,213.06939147971934,0.5337643517635479,10.802438843099559,118.00361709832347,229.71224033079937,21.451395421333828
52-19,geo,496166.57,5404015.05,183.19355120446465,0.30148969556446426,12.199581667065164,91.445568185978,192.80155455820483,25.23534145095644
54-16,geo,496497.74,5404659.17,208.83376035220564,0.500833737766918,7.299661205137876,115.48496899530309,231.909098093961,22.128474198660147
54-17,geo,496655.46,5404184.68,199.3941144435684,0.42744365106579646,31.632076585747054,88.85049918662209,244.4626534248036,15.835807313952996
54-18,geo,496814.18,5403710.73,182.67779769927176,0.29747988472739884,23.183162331400297,95.82689997510062,163.46037774927933,19.168404565986965
56-18,geo,496675.16,5405766.01,239.49362520016876,0.7392039225402497,31.35688348996579,73.00938163099495,367.97156700493304,37.04692642415366
56-20,geo,497136.01,5404331.36,254.14614689966507,0.8531223733300359,42.302542426066445,153.68644247985495,96.34014280397436,30.708083012195786
56-22,geo,497291.62,5403856.01,270.29683922687036,0.9786885991873205,23.986753969365452,194.58296740663815,131.99082698946356,16.22456554912522
60-18,geo,497934.73,5405121.27,244.26975083125024,0.7763367003534295,7.779613353427024,85.03859004071307,393.3243889503244,43.132867854818635
60-20,geo,498232.97,5404152.17,198.19744849620696,0.41813997394918145,21.953776901034665,90.74516898742826,248.8583234878655,19.481153011911772
64-24,geo,498879.63,5405400.98,266.3296826607115,0.9478452850243474,19.677945541612143,126.4920940458836,372.1935098688027,22.685013884949218
BK12-2,geo,497464.39,5404959.31,248.87184383684072,0.8121164327666838,14.60483496032637,101.83285177536301,356.83871846581263,35.56832799192592
BK12-3,geo,497621.5,5404458.17,209.19005351889217,0.5036037978568008,47.71126722422848,62.24286425580121,311.53493637598046,20.34503793570063
BK12-4,geo,497754,5403998.03,171.9943438409143,0.21441960762369153,12.194059716264915,62.65869693390099,284.31600565322884,20.744470752296728
BK12-7,geo,498083.15,5404638.49,184.93569578207746,0.31503428641399017,19.176510551953626,46.220981428689576,388.73251817333505,18.32947883343106
BK12-8,geo,498378.44,5403689.89,152.28553584732595,0.06119022365901036,12.271841550530773,49.22906775544344,273.11533575653414,17.710084287159976
BK14-9,geo,499027.9391,5404918.19,267.2521327395287,0.9550170255660032,47.183947454547656,119.96733261235146,317.0020155563583,20.113803947222486
BK17-6,geo,498782.26,5404074.31,175.63249764936648,0.24270503549021918,33.90684523957599,41.61461319480937,284.1627637214279,25.335910803331167
BK20-1,geo,498695.79,5404381,144.41507172369455,0,7.951356513242335,28.60157438033999,326.3661707269399,20.38220845540492
BK23-3,geo,498046.92,5404790.11,238.6991255390672,0.7330269536606329,11.424368794551016,111.04053318145104,349.5779966989163,23.234686252994607
BK23-4,geo,498616.54,5404670.77,258.9343089897707,0.8903487305825198,23.32672756065915,134.90001531923156,305.10055826176267,20.796951967260117
BK23-5,geo,496173.39,5405602.25,273.03797343901545,1,9.64811541889802,164.53803905874395,200.28909911698577,39.89267808046772
BK23-6,geo,496830.86,5405285.47,257.84923838466034,0.8819126698916178,8.206169740141071,123.57734865078113,338.9048514908885,33.43188835734563
BK23-8,geo,497760.29,5405592.22,235.67716229555862,0.709532201146053,9.273012685153304,73.24756997062292,417.5623351650098,39.59987951411134
BND-1,gray,495394.96,5403689.89,200.1745215303854,0.4335110548983134,38.97680814077955,83.40445225720815,211.37999341531156,22.534437268211356
BND-2,gray,499027.9391,5403689.89,191.03340020544493,0.36244189689430284,22.85316748544127,69.4792632033663,286.61893567941274,22.66203398502966
BND-3,gray,499027.9391,5405766.01,243.61935764468953,0.7712801110688849,21.245083040793368,107.82706450594564,339.57174223484174,24.87973815684942
BND-4,gray,495394.96,5405766.01,229.1140386655499,0.6585061121488169,16.478237061038186,108.06646106349348,267.2489380055088,31.23521360538112
