B,Bmax,Bmin,N,coveragePct,distExceedPct,distMean,distP90,distPoints,distSampleCount,distScore,distStepM,distThreshold,rank,signature,tonnageTotal,wb,ws,wsMax,wsMin
100,100,100,13,75.0608754392161,14.247669773635153,0.38720478547320836,0.7414105062177743,95,751,0.4744675745732779,25,0.7,1,x|wb=80.0000|ws=30-30|N=13|B=100-100|h=f2a5a1b8,138490211.57808253,80,30,30,30
153.77777777777777,170,133,9,81.33417970592282,14.064115822130299,0.39171642931458656,0.7401246566218769,94.72378745449329,967,0.47599801820814563,25,0.7,2,x|wb=80.0000|ws=30-30|N=9|B=133-170|h=05e4ec98,150042859.59162113,80,30,30,30
114.45454545454545,133,100,11,75.05468538410294,14.002333722287046,0.39583976874005466,0.7379553179576595,94.17796196464737,857,0.4772077462386387,25,0.7,3,x|wb=80.0000|ws=30-30|N=11|B=100-133|h=d9554394,138529973.77092457,80,30,30,30
100,100,100,12,71.95877309247697,14.000000000000002,0.39847851395366934,0.7364829937323285,93.81675246243393,750,0.4780083047831497,25,0.7,4,x|wb=80.0000|ws=30-30|N=12|B=100-100|h=18276dd8,132816408.26432893,80,30,30,30
171.125,207,113,8,81.27636265878135,14.201183431952662,0.39767872716576286,0.7403116765841615,93.2564017176488,1183,0.47925022553526697,25,0.7,5,x|wb=80.0000|ws=30-30|N=8|B=113-207|h=561ad160,150012490.73329738,80,30,30,30
248.5,264,225,6,83.9043668943085,14.263565891472869,0.39737440147987285,0.7408420881145654,93.19907495374474,1290,0.4793772804172436,25,0.7,6,x|wb=80.0000|ws=30-30|N=6|B=225-264|h=57dec620,154724269.57277143,80,30,30,30
190,280,100,7,80.66294973468726,14.133333333333335,0.40312728930502484,0.737383693331949,92.53551917641637,750,0.4808479373186945,25,0.7,7,x|wb=80.0000|ws=30-30|N=7|B=100-280|h=44e7fe0c,148882224.72369102,80,30,30,30
123.8,160,100,10,74.22600992558888,14.270941054808686,0.40560254488778635,0.7402622126365992,91.4294005381425,967,0.4832994584489159,25,0.7,8,x|wb=80.0000|ws=30-30|N=10|B=100-160|h=a1fecd40,136992998.39160565,80,30,30,30
350,350,350,4,83.66122698591766,14.48087431693989,0.40631942008173305,0.7437410823023418,90.57621350090571,1830,0.485190400322096,25,0.7,9,x|wb=80.0000|ws=30-30|N=4|B=350-350|h=f20fd46c,154379049.29140776,80,30,30,30
290,350,230,5,86.80333240160823,14.535519125683061,0.40633819475324456,0.7438908861575375,90.5113377550077,1830,0.485334186220285,25,0.7,10,x|wb=80.0000|ws=30-30|N=5|B=230-350|h=682ad148,160178521.7198854,80,30,30,30
350,350,350,3,65.69984007403151,14.993246285457001,0.5145714429799495,0.7166537522461179,70.08555751042967,2221,0.5306044042043015,25,0.7,11,x|wb=80.0000|ws=38-44|N=3|B=350-350|h=68a1f718,121264494.24178898,80,41,44,38
350,350,350,2,43.80160982036342,18.054930211616387,0.5392159100717144,0.7238971532750768,61.309801219035954,2221,0.5500543539995587,25,0.7,12,x|wb=80.0000|ws=30-30|N=2|B=350-350|h=8a5cd1f8,80846164.25028422,80,30,30,30
350,350,350,1,21.901763036478687,19.270598829356146,0.5480427970537909,0.7268126522992178,60,2221,0.5573117250756559,25,0.7,13,x|wb=80.0000|ws=0-0|N=1|B=350-350|h=ad900934,40424850.57238147,80,0,0,0
