month,tonnage,minedLen,workface
1,0.0,0.0,
2,0.0,0.0,
3,0.0,0.0,
4,0.0,0.0,
5,0.0,0.0,
6,0.0,0.0,
7,0.0,0.0,
8,0.0,0.0,
9,0.0,0.0,
10,1266272.7866448564,126.37168435058553,No.1
11,1277578.7639999997,127.5,No.1
12,1277578.7639999997,127.5,No.1
13,1277578.7639999997,127.5,No.1
14,1277578.7639999997,127.5,No.1
15,1277578.7639999997,127.5,No.1
16,1277578.7639999997,127.5,No.1
17,1277578.7639999997,127.5,No.1
18,1277578.7639999997,127.5,No.1
19,1277578.7639999997,127.5,No.1
20,1277578.7639999997,127.5,No.1
21,1277578.7639999997,127.5,No.1
22,1277578.7639999997,127.5,No.1
23,1277578.7639999997,127.5,No.1
24,1277578.7639999997,127.5,No.1
25,1277578.7639999997,127.5,No.1
26,1277578.7639999997,127.5,No.1
27,1277578.7639999997,127.5,No.1
28,1277578.7639999997,127.5,No.1
29,1277578.7639999997,127.5,No.1
30,1277578.7639999997,127.5,No.1
31,39570.9207429993,3.949104772950352,No.1
32,1238007.8432570007,123.55089522704965,No.2
33,1277578.7639999997,127.5,No.2
34,1277578.7639999997,127.5,No.2
35,1277578.7639999997,127.5,No.2
36,1277578.7639999997,127.5,No.2
37,1277578.7639999997,127.5,No.2
38,1277578.7639999997,127.5,No.2
39,1277578.7639999997,127.5,No.2
40,1277578.7639999997,127.5,No.2
41,1277578.7639999997,127.5,No.2
42,1277578.7639999997,127.5,No.2
43,1277578.7639999997,127.5,No.2
44,1277578.7639999997,127.5,No.2
45,1277578.7639999997,127.5,No.2
46,1277578.7639999997,127.5,No.2
47,1277578.7639999997,127.5,No.2
48,1277578.7639999997,127.5,No.2
49,1277578.7639999997,127.5,No.2
50,1277578.7639999997,127.5,No.2
51,1277578.7639999997,127.5,No.2
52,1277578.7639999997,127.5,No.2
53,1277578.7639999997,127.5,No.2
54,1277578.7639999997,127.5,No.2
55,1277578.7639999997,127.5,No.2
56,1277578.7639999997,127.5,No.2
57,720524.9676019202,71.9070604160769,No.2
58,557053.7963980795,55.59293958392309,No.3
59,1277578.7639999997,127.5,No.3
60,1277578.7639999997,127.5,No.3
61,1277578.7639999997,127.5,No.3
62,1277578.7639999997,127.5,No.3
63,1277578.7639999997,127.5,No.3
64,1277578.7639999997,127.5,No.3
65,1277578.7639999997,127.5,No.3
66,1277578.7639999997,127.5,No.3
67,1277578.7639999997,127.5,No.3
68,1277578.7639999997,127.5,No.3
69,1277578.7639999997,127.5,No.3
70,1277578.7639999997,127.5,No.3
71,1277578.7639999997,127.5,No.3
72,1277578.7639999997,127.5,No.3
73,1277578.7639999997,127.5,No.3
74,1277578.7639999997,127.5,No.3
75,1277578.7639999997,127.5,No.3
76,1277578.7639999997,127.5,No.3
77,1277578.7639999997,127.5,No.3
78,1277578.7639999997,127.5,No.3
79,1277578.7639999997,127.5,No.3
80,1277578.7639999997,127.5,No.3
81,1277578.7639999997,127.5,No.3
82,1277578.7639999997,127.5,No.3
83,1277578.7639999997,127.5,No.3
84,121194.40100007693,12.094977282754689,No.3
85,1156384.3629999228,115.4050227172453,No.4
86,1277578.7639999997,127.5,No.4
87,1277578.7639999997,127.5,No.4
88,1277578.7639999997,127.5,No.4
89,1277578.7639999997,127.5,No.4
90,1277578.7639999997,127.5,No.4
91,1277578.7639999997,127.5,No.4
92,1277578.7639999997,127.5,No.4
93,1277578.7639999997,127.5,No.4
94,1277578.7639999997,127.5,No.4
95,1277578.7639999997,127.5,No.4
96,1277578.7639999997,127.5,No.4
97,1277578.7639999997,127.5,No.4
98,1277578.7639999997,127.5,No.4
99,1277578.7639999997,127.5,No.4
100,1277578.7639999997,127.5,No.4
101,1277578.7639999997,127.5,No.4
102,1277578.7639999997,127.5,No.4
103,1277578.7639999997,127.5,No.4
104,1277578.7639999997,127.5,No.4
105,1277578.7639999997,127.5,No.4
106,1277578.7639999997,127.5,No.4
107,1277578.7639999997,127.5,No.4
108,1277578.7639999997,127.5,No.4
109,1277578.7639999997,127.5,No.4
110,796736.7489374744,79.51285537298426,No.4
111,480842.0150625254,47.98714462701573,No.5
112,1277578.7639999997,127.5,No.5
113,1277578.7639999997,127.5,No.5
114,1277578.7639999997,127.5,No.5
115,1277578.7639999997,127.5,No.5
116,1277578.7639999997,127.5,No.5
117,1277578.7639999997,127.5,No.5
118,1277578.7639999997,127.5,No.5
119,1277578.7639999997,127.5,No.5
120,1277578.7639999997,127.5,No.5
121,1277578.7639999997,127.5,No.5
122,1277578.7639999997,127.5,No.5
123,1277578.7639999997,127.5,No.5
124,1277578.7639999997,127.5,No.5
125,1277578.7639999997,127.5,No.5
126,1277578.7639999997,127.5,No.5
127,1277578.7639999997,127.5,No.5
128,1277578.7639999997,127.5,No.5
129,1277578.7639999997,127.5,No.5
130,1277578.7639999997,127.5,No.5
131,1277578.7639999997,127.5,No.5
132,1277578.7639999997,127.5,No.5
133,1277578.7639999997,127.5,No.5
134,1277578.7639999997,127.5,No.5
135,1277578.7639999997,127.5,No.5
136,1083641.9630360152,108.145465610676,No.5
