ID,X,Y,Ti,Hi,Di,Mi
50-14,495394.96,5404813.13,6.996516365089617,100.13195557583644,299.79483426831183,0
50-15,495558.87,5404339.03,10.696360676642431,94.96552460358399,203.8480567905465,0
50-16,495724.71,5403865.27,67.87786737238224,62.1096652499601,178.55824439614832,0
52-17,495869.64,5404980.28,13.787253202218185,76.59884942068692,290.77660401637337,0
52-18,496022.31,5404502.09,10.802438843099559,118.00361709832347,229.71224033079937,4
52-19,496166.57,5404015.05,12.199581667065164,91.445568185978,192.80155455820483,0
54-16,496497.74,5404659.17,7.299661205137876,115.48496899530309,231.909098093961,0
54-17,496655.46,5404184.68,31.632076585747054,88.85049918662209,244.4626534248036,15.835807313952996
54-18,496814.18,5403710.73,23.183162331400297,95.82689997510062,163.46037774927933,0
56-18,496675.16,5405766.01,31.35688348996579,73.00938163099495,367.97156700493304,0
56-20,497136.01,5404331.36,42.302542426066445,153.68644247985495,96.34014280397436,4
56-22,497291.62,5403856.01,23.986753969365452,194.58296740663815,131.99082698946356,0
60-18,497934.73,5405121.27,7.779613353427024,85.03859004071307,393.3243889503244,4
60-20,498232.97,5404152.17,21.953776901034665,90.74516898742826,248.8583234878655,19.481153011911772
64-24,498879.63,5405400.98,19.677945541612143,126.4920940458836,372.1935098688027,0
BK12-2,497464.39,5404959.31,14.60483496032637,101.83285177536301,356.83871846581263,4
BK12-3,497621.5,5404458.17,47.71126722422848,62.24286425580121,311.53493637598046,4
BK12-4,497754,5403998.03,12.194059716264915,62.65869693390099,284.31600565322884,20.744470752296728
BK12-7,498083.15,5404638.49,19.176510551953626,46.220981428689576,388.73251817333505,0
BK12-8,498378.44,5403689.89,12.271841550530773,49.22906775544344,273.11533575653414,0
BK14-9,499027.9391,5404918.19,47.183947454547656,119.96733261235146,317.0020155563583,0
BK17-6,498782.26,5404074.31,33.90684523957599,41.61461319480937,284.1627637214279,23.14
BK20-1,498695.79,5404381,7.951356513242335,28.60157438033999,326.3661707269399,4
BK23-3,498046.92,5404790.11,11.424368794551016,111.04053318145104,349.5779966989163,4
BK23-4,498616.54,5404670.77,23.32672756065915,134.90001531923156,305.10055826176267,4
BK23-5,496173.39,5405602.25,9.64811541889802,164.53803905874395,200.28909911698577,4
BK23-6,496830.86,5405285.47,8.206169740141071,123.57734865078113,338.9048514908885,4
BK23-8,497760.29,5405592.22,9.273012685153304,73.24756997062292,417.5623351650098,4
BND-1,495394.96,5403689.89,38.97680814077955,83.40445225720815,211.37999341531156,0
BND-2,499027.9391,5403689.89,22.85316748544127,69.4792632033663,286.61893567941274,0
BND-3,499027.9391,5405766.01,21.245083040793368,107.82706450594564,339.57174223484174,0
BND-4,495394.96,5405766.01,16.478237061038186,108.06646106349348,267.2489380055088,0
BJ1,495601.8241,5404270.607,13.200146275778724,94.84693039488405,208.14380219984338,0
BJ2,495603.0531,5405808.912,16.13711708294668,113.23441761252559,264.2560668227804,0
BJ3,496085.1344,5404207.591,18.33256978994372,97.70666377175841,216.34034548582486,0
BJ4,496085.1344,5404272.579,17.565436718006495,101.7249939099088,223.30586171428237,0
BJ5,496170.8574,5403926.975,15.591730792946965,91.88699946313521,197.80285364523482,0
BJ6,496177.6283,5404207.591,18.024407900500726,97.67849475227635,216.1490501233559,0
BJ7,498958.8109,5405677.692,21.034339681631938,111.76101008974648,346.9132081643023,0
BJ8,498958.8109,5403926.114,26.876602680145464,57.96856609545037,288.6052537343561,0
WF-1-LOC1,496227.86411087646,5403988.216488899,13.821031472300946,92.00281974725524,196.0740350581178,23.14
WF-1-LOC2,498908.1849,5403988.216488899,29.40688774935989,51.45006515930595,287.53076899324424,23.14
WF-1-LOC3,498908.1849,5404296.216488899,19.76869905055231,55.75885743270614,306.7198683416294,22.295931902255102
WF-1-LOC4,496227.86411087646,5404296.216488899,18.22440720659409,101.96750004958542,226.32034619068986,23.14
WF-2-LOC1,495652.72694435687,5404326.216488899,12.850357472330987,95.5849868020762,209.8109388852635,4
WF-2-LOC2,498908.1849,5404326.216488899,18.742092280807306,56.24288957406324,309.0029499432027,4
WF-2-LOC3,498908.1849,5404634.216488899,24.693733595094322,95.42511079508823,312.78551295012903,4
WF-2-LOC4,495652.72694435687,5404634.216488899,13.64180591931023,99.10980427337157,252.0222689058826,4
WF-3-LOC1,495652.9969831333,5404664.216488899,13.410549166262346,98.75901592295227,256.6714208286426,4
WF-3-LOC2,498908.1849,5404664.216488899,26.138522378857342,98.9229969079597,313.1419807235094,4
WF-3-LOC3,498908.1849,5404972.216488899,39.90259666095707,114.8941503894783,319.1358719200176,4
WF-3-LOC4,495652.9969831333,5404972.216488899,13.272478099585761,90.50694370340163,279.70629203229424,4
WF-4-LOC1,495653.26702190976,5405002.216488899,13.438103265800128,90.27734835317139,279.68501568487244,4
WF-4-LOC2,498908.1849,5405002.216488899,38.52754470533409,114.17786334601232,320.35972273926853,4
WF-4-LOC3,498908.1849,5405310.216488899,20.978020280647094,122.39864421587012,363.62115184381116,4
WF-4-LOC4,495653.26702190976,5405310.216488899,14.82642484416715,102.29915721834007,268.86926114979417,4
WF-5-LOC1,495653.5370606862,5405340.216488899,14.917289814753467,103.87012726202526,267.64978278922706,4
WF-5-LOC2,498869.6696709239,5405340.216488899,20.079882018492583,124.85245340591017,369.00490036327074,4
WF-5-LOC3,498869.6696709239,5405648.216488899,20.729443311199798,113.31814718435541,350.52876697561703,4
WF-5-LOC4,495653.5370606862,5405648.216488899,15.451232065110453,114.98130952048754,260.46537898038235,4
WF-1-BJ1,496252.9138378776,5403988.216488899,14.80202335978527,92.50994156789466,198.4228696698766,23.14
WF-1-BJ2,496277.96356487874,5403988.216488899,15.905622150240838,93.09078860396752,201.08245731504235,23.14
WF-1-BJ3,496303.0132918799,5403988.216488899,17.00907323679986,93.67930836028991,203.7486126312661,23.14
WF-1-BJ4,496328.0630188811,5403988.216488899,18.11122101851368,94.33553041517075,206.47271954900918,23.14
WF-1-BJ5,496353.11274588224,5403988.216488899,19.213368800227506,94.99175247005157,209.19682646675224,23.14
WF-1-BJ6,496378.16247288336,5403988.216488899,20.23320667923622,95.58217165354839,211.64750218321853,23.03903057341715
WF-1-BJ7,496403.2121998845,5403988.216488899,21.133581847490643,96.07708605411258,213.7013261062038,22.669446935020478
WF-1-BJ8,496428.2619268857,5403988.216488899,22.033957015745067,96.57200045467678,215.7551500291891,22.299863296623794
WF-1-BJ9,496453.31165388686,5403988.216488899,22.786412402941025,96.91645076005761,217.26762268437454,21.946846318847513
WF-1-BJ10,496478.361380888,5403988.216488899,23.479638476750623,97.20065297026758,218.56333011950113,21.600462882080564
WF-1-BJ11,496503.41110788914,5403988.216488899,24.168839453834675,97.48266188326133,219.84480205812642,21.255466891148917
WF-1-BJ12,496528.4608348903,5403988.216488899,24.662941508513754,97.65836032658628,220.43627069592185,20.977721256138995
WF-1-BJ13,496553.5105618915,5403988.216488899,25.157043563192843,97.83405876991125,221.02773933371728,20.699975621129067
WF-1-BJ14,496578.5602888926,5403988.216488899,25.581351079782976,98.04354818450653,221.36836382603852,20.462573066857544
WF-1-BJ15,496603.61001589376,5403988.216488899,25.861591718750002,98.32278746572845,221.19120664376754,20.308444961200806
WF-1-BJ16,496628.65974289493,5403988.216488899,26.141832357717036,98.60202674695037,221.0140494614965,20.154316855544067
WF-1-BJ17,496653.7094698961,5403988.216488899,26.293997144327825,99.08925872634104,220.29305808609888,20.095581952546638
WF-1-BJ18,496678.7591968972,5403988.216488899,26.371744418932792,99.69734330072231,219.25607593764582,20.09227455343506
WF-1-BJ19,496703.8089238984,5403988.216488899,26.449491693537936,100.30542787510498,218.2190937891904,20.088967154323473
WF-1-BJ20,496728.85865089955,5403988.216488899,26.41384151843047,101.32276791238893,216.5523295945726,20.193422259655335
WF-1-BJ21,496753.9083779007,5403988.216488899,26.37077765896428,102.36686420240804,214.84439158769646,20.304922648595195
WF-1-BJ22,496778.95810490183,5403988.216488899,26.324200619984133,103.51895690898667,213.07818403848992,20.4271966417908
WF-1-BJ23,496804.007831903,5403988.216488899,26.266784019814367,105.00426167059979,211.13219169118025,20.582711504716677
WF-1-BJ24,496829.05755890417,5403988.216488899,26.20936741964459,106.48956643221292,209.18619934387056,20.73822636764256
WF-1-BJ25,496854.10728590534,5403988.216488899,26.17439789454555,108.23256371608251,207.2493039877257,20.885504693775598
WF-1-BJ26,496879.15701290645,5403988.216488899,26.157726436114856,110.1856228871786,205.3198241790583,21.026068884597752
WF-1-BJ27,496904.2067399076,5403988.216488899,26.141054977684128,112.1386820582792,203.3903443703864,21.166633075420226
WF-1-BJ28,496929.2564669088,5403988.216488899,26.149746594570132,114.55338277787531,201.4098641320039,21.254481844064
WF-1-BJ29,496954.30619390996,5403988.216488899,26.162668452491435,117.04507948465596,199.4208776652604,21.333538345235915
WF-1-BJ30,496979.35592091107,5403988.216488899,26.172307331639985,119.63705985689384,197.38689120114378,21.394954907409577
WF-1-BJ31,497004.40564791224,5403988.216488899,26.165112183167803,122.74326164547435,195.12215965725412,21.36591970584113
WF-1-BJ32,497029.4553749134,5403988.216488899,26.157917034695625,125.84946343405481,192.8574281133645,21.336884504272675
WF-1-BJ33,497054.5051019146,5403988.216488899,26.117851703204405,129.2565614731942,190.3814760594318,21.241094369576306
WF-1-BJ34,497079.5548289157,5403988.216488899,26.040620786664732,133.00387621219804,187.66670167143215,21.069825916334164
WF-1-BJ35,497104.60455591686,5403988.216488899,25.963389870124878,136.7511909512105,184.95192728342624,20.898557463091635
WF-1-BJ36,497129.654282918,5403988.216488899,25.826665725035674,140.7609945404687,181.9806608390882,20.633916417755266
WF-1-BJ37,497154.7040099192,5403988.216488899,25.67271629929826,144.84679743624892,178.93513136075302,20.34224088222757
WF-1-BJ38,497179.7537369203,5403988.216488899,25.51713503327217,148.85738616325455,175.95088197407546,20.051474139205553
WF-1-BJ39,497204.8034639215,5403988.216488899,25.343191063354478,152.02160804987255,173.65620262985848,19.770933818327205
WF-1-BJ40,497229.85319092264,5403988.216488899,25.169247093436788,155.18582993649056,171.3615232856415,19.490393497448853
WF-1-BJ41,497254.9029179238,5403988.216488899,25.007717230294062,157.17063381186313,170.23092383959477,19.288679951673092
WF-1-BJ42,497279.9526449249,5403988.216488899,24.865788654267092,157.29319246197792,170.93835146411539,19.211430153404834
WF-1-BJ43,497305.0023719261,5403988.216488899,24.723860078239795,157.41575111209298,171.64577908863762,19.1341803551364
WF-1-BJ44,497330.05209892726,5403988.216488899,24.55893168078005,154.80051834160267,175.36713530816888,19.228194472123107
WF-1-BJ45,497355.10182592843,5403988.216488899,24.3838571047903,150.97753182341577,180.41806087637872,19.39776023045759
WF-1-BJ46,497380.15155292954,5403988.216488899,24.208776269457175,147.15445636684692,185.46909287739737,19.56732920357367
WF-1-BJ47,497405.2012799307,5403988.216488899,23.85150985943998,140.7427242705277,193.6179775051517,19.83046819392648
WF-1-BJ48,497430.2510069319,5403988.216488899,23.49424344942279,134.33099217420866,201.76686213290586,20.093607184279286
WF-1-BJ49,497455.30073393305,5403988.216488899,23.04343916173606,127.6649156024053,210.20163188099792,20.338065365485917
WF-1-BJ50,497480.35046093416,5403988.216488899,22.380667512666175,120.42246581482239,219.28424949698024,20.540190730063134
WF-1-BJ51,497505.40018793533,5403988.216488899,21.717895863594737,113.18001602722242,228.3668671129839,20.742316094640824
WF-1-BJ52,497530.4499149365,5403988.216488899,20.832274749294378,106.01757185919192,237.0920243938381,20.86978299251683
WF-1-BJ53,497555.49964193767,5403988.216488899,19.80555696002362,98.90578308263252,245.59085640767094,20.949980037628396
WF-1-BJ54,497580.5493689388,5403988.216488899,18.77883917075524,91.79399430608957,254.08968842148408,21.030177082739783
