month,tonnage,minedLen,workface
1,0.0,0.0,
2,0.0,0.0,
3,0.0,0.0,
4,0.0,0.0,
5,0.0,0.0,
6,0.0,0.0,
7,0.0,0.0,
8,0.0,0.0,
9,0.0,0.0,
10,196169.29305110092,126.37168435058553,No.1
11,197920.8,127.5,No.1
12,197920.8,127.5,No.1
13,197920.8,127.5,No.1
14,197920.8,127.5,No.1
15,197920.8,127.5,No.1
16,197920.8,127.5,No.1
17,197920.8,127.5,No.1
18,197920.8,127.5,No.1
19,197920.8,127.5,No.1
20,197920.8,127.5,No.1
21,197920.8,127.5,No.1
22,197920.8,127.5,No.1
23,197920.8,127.5,No.1
24,197920.8,127.5,No.1
25,197920.8,127.5,No.1
26,197920.8,127.5,No.1
27,197920.8,127.5,No.1
28,197920.8,127.5,No.1
29,197920.8,127.5,No.1
30,197920.8,127.5,No.1
31,6130.2743211462885,3.949104772950352,No.1
32,191790.5256788537,123.55089522704965,No.2
33,197920.8,127.5,No.2
34,197920.8,127.5,No.2
35,197920.8,127.5,No.2
36,197920.8,127.5,No.2
37,197920.8,127.5,No.2
38,197920.8,127.5,No.2
39,197920.8,127.5,No.2
40,197920.8,127.5,No.2
41,197920.8,127.5,No.2
42,197920.8,127.5,No.2
43,197920.8,127.5,No.2
44,197920.8,127.5,No.2
45,197920.8,127.5,No.2
46,197920.8,127.5,No.2
47,197920.8,127.5,No.2
48,197920.8,127.5,No.2
49,197920.8,127.5,No.2
50,197920.8,127.5,No.2
51,197920.8,127.5,No.2
52,197920.8,127.5,No.2
53,197920.8,127.5,No.2
54,197920.8,127.5,No.2
55,197920.8,127.5,No.2
56,197920.8,127.5,No.2
57,111622.76802508449,71.9070604160769,No.2
58,86298.03197491547,55.59293958392309,No.3
59,197920.8,127.5,No.3
60,197920.8,127.5,No.3
61,197920.8,127.5,No.3
62,197920.8,127.5,No.3
63,197920.8,127.5,No.3
64,197920.8,127.5,No.3
65,197920.8,127.5,No.3
66,197920.8,127.5,No.3
67,197920.8,127.5,No.3
68,197920.8,127.5,No.3
69,197920.8,127.5,No.3
70,197920.8,127.5,No.3
71,197920.8,127.5,No.3
72,197920.8,127.5,No.3
73,197920.8,127.5,No.3
74,197920.8,127.5,No.3
75,197920.8,127.5,No.3
76,197920.8,127.5,No.3
77,197920.8,127.5,No.3
78,197920.8,127.5,No.3
79,197920.8,127.5,No.3
80,197920.8,127.5,No.3
81,197920.8,127.5,No.3
82,197920.8,127.5,No.3
83,197920.8,127.5,No.3
84,18775.275135565753,12.094977282754689,No.3
85,179145.5248644342,115.4050227172453,No.4
86,197920.8,127.5,No.4
87,197920.8,127.5,No.4
88,197920.8,127.5,No.4
89,197920.8,127.5,No.4
90,197920.8,127.5,No.4
91,197920.8,127.5,No.4
92,197920.8,127.5,No.4
93,197920.8,127.5,No.4
94,197920.8,127.5,No.4
95,197920.8,127.5,No.4
96,197920.8,127.5,No.4
97,197920.8,127.5,No.4
98,197920.8,127.5,No.4
99,197920.8,127.5,No.4
100,197920.8,127.5,No.4
101,197920.8,127.5,No.4
102,197920.8,127.5,No.4
103,197920.8,127.5,No.4
104,197920.8,127.5,No.4
105,197920.8,127.5,No.4
106,197920.8,127.5,No.4
107,197920.8,127.5,No.4
108,197920.8,127.5,No.4
109,197920.8,127.5,No.4
110,123429.39565259092,79.51285537298426,No.4
111,74491.40434740904,47.98714462701573,No.5
112,197920.8,127.5,No.5
113,197920.8,127.5,No.5
114,197920.8,127.5,No.5
115,197920.8,127.5,No.5
116,197920.8,127.5,No.5
117,197920.8,127.5,No.5
118,197920.8,127.5,No.5
119,197920.8,127.5,No.5
120,197920.8,127.5,No.5
121,197920.8,127.5,No.5
122,197920.8,127.5,No.5
123,197920.8,127.5,No.5
124,197920.8,127.5,No.5
125,197920.8,127.5,No.5
126,197920.8,127.5,No.5
127,197920.8,127.5,No.5
128,197920.8,127.5,No.5
129,197920.8,127.5,No.5
130,197920.8,127.5,No.5
131,197920.8,127.5,No.5
132,197920.8,127.5,No.5
133,197920.8,127.5,No.5
134,197920.8,127.5,No.5
135,197920.8,127.5,No.5
136,167876.36917676454,108.145465610676,No.5
