ID,X,Y,Measured
Q11,494117.6314,5403803.377,0.3375
Q12,494117.6314,5403778.377,0.5375
Q13,494117.6314,5403753.377,0.7845
Q14,494117.6314,5403728.376,1.1215
Q15,494117.6314,5403703.376,1.633
Q16,494117.6314,5403678.376,2.2415
Q17,494117.6314,5403635.076,2.9945
Q18,494117.6314,5403610.076,2.8005
Q19,494117.6314,5403585.076,2.2465
Q20,494117.6314,5403560.076,1.5875
Q21,494117.6314,5403535.076,1.0405
Q22,494117.6314,5403510.076,0.6955
Q23,494117.6314,5403485.076,0.4815
Q24,494117.6314,5403460.076,0.2975
Q25,494117.6314,5403435.076,0.205
Q26,494117.6314,5403410.076,0.13
S11,494517.715,5403803.377,0.366
S12,494517.715,5403778.377,0.608
S13,494517.715,5403753.377,0.9475
S14,494517.715,5403728.376,1.445
S15,494517.715,5403703.376,2.1665
S16,494517.715,5403678.376,3.039
S17,494517.715,5403635.076,4.437
S18,494517.715,5403610.076,4.3635
S19,494517.715,5403585.076,3.641
S20,494517.715,5403560.076,2.585
S21,494517.715,5403535.076,1.6585
S22,494517.715,5403510.076,1.037
S23,494517.715,5403485.076,0.612
S24,494517.715,5403460.076,0.3515
S25,494517.715,5403435.076,0.194
S26,494517.715,5403410.076,0.1215
Z11,493842.715,5403660.076,1.306
Z12,493867.715,5403660.076,1.8085
Z13,493892.715,5403660.076,2.21
Z14,493917.715,5403660.076,2.546
Z15,493942.715,5403660.076,2.8145
Z16,493967.715,5403660.076,3.0445
Z17,493992.715,5403660.076,3.196
Z18,494017.715,5403660.076,3.209
Z19,494042.715,5403660.076,3.1605
Z20,494067.715,5403660.076,2.9965
Z21,494092.715,5403660.076,2.887
Z22,494117.715,5403660.076,2.777
Z23,494142.715,5403660.076,2.702
Z24,494167.715,5403660.076,2.666
Z25,494192.715,5403660.076,2.6595
Z26,494217.715,5403660.076,2.6365
Z27,494242.715,5403660.076,2.7075
Z28,494267.715,5403660.076,2.681
Z29,494292.715,5403660.076,2.66
Z30,494317.715,5403660.076,2.65
Z31,494342.715,5403660.076,2.7345
Z32,494367.715,5403660.076,2.874
Z33,494392.715,5403660.076,3.045
Z34,494417.715,5403660.076,3.2435
Z35,494442.715,5403660.076,3.4475
Z36,494467.715,5403660.076,3.6665
Z37,494492.715,5403660.076,3.911
Z38,494517.715,5403660.076,4.198
Z39,494542.715,5403660.076,4.4305
Z40,494567.715,5403660.076,4.6015
Z41,494592.715,5403660.076,4.7405
Z42,494617.715,5403660.076,4.826
Z43,494642.715,5403660.076,4.781
Z44,494667.715,5403660.076,4.7755
Z45,494692.715,5403660.076,4.66
Z46,494717.715,5403660.076,4.5635
Z47,494742.715,5403660.076,4.4435
Z48,494767.715,5403660.076,4.232
Z49,494792.715,5403660.076,4.201
Z50,494817.715,5403660.076,4.1845
Z51,494842.715,5403660.076,4.2545
Z52,494867.715,5403660.076,4.5365
Z53,494892.715,5403660.076,4.6865
Z54,494917.715,5403660.076,4.917
Z55,494942.715,5403660.076,5.102
Z56,494967.715,5403660.076,5.107
Z57,494992.715,5403660.076,4.9595
Z58,495017.715,5403660.076,4.4835
Z59,495042.715,5403660.076,3.6
Z60,495067.715,5403660.076,2.495
Z61,495092.715,5403660.076,1.444
Z62,495117.715,5403660.076,0.85
Z63,495142.715,5403660.076,0.34
Z64,495167.715,5403660.076,0.17
Z65,495192.715,5403660.076,0.113
Z66,495217.715,5403660.076,0.066
