month,workface,tonnage,tonnageAdj,risk,revenueWan,varCostWan,fixedCostWan,sustainCapexWan,riskExtraCostWan,capexInitialWan,netCashWan,cumCashWan
1,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,30000.0,-30300.0,-30300.0
2,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-30600.0
3,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-30900.0
4,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-31200.0
5,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-31500.0
6,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-31800.0
7,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-32100.0
8,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-32400.0
9,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-32700.0
10,No.1,1266272.7866448564,1266272.7866448564,,101301.82293158853,40520.72917263541,300.0,0.0,0.0,0.0,60481.09375895312,27781.093758953117
11,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,88804.8744309531
12,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,149828.65510295308
13,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,210852.43577495308
14,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,271876.21644695307
15,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,332899.99711895303
16,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,393923.777790953
17,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,454947.55846295296
18,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,515971.3391349529
19,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,576995.1198069529
20,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,638018.9004789529
21,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,699042.6811509529
22,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,760066.461822953
23,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,821090.242494953
24,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,882114.023166953
25,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,943137.803838953
26,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1004161.584510953
27,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1065185.365182953
28,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1126209.145854953
29,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1187232.926526953
30,No.1,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1248256.707198953
31,No.1,39570.9207429993,39570.9207429993,,3165.6736594399435,1266.2694637759776,300.0,0.0,0.0,0.0,1599.404195663966,1249856.111394617
32,No.2,1238007.8432570007,1238007.8432570007,,99040.62746056006,39616.25098422402,300.0,0.0,0.0,0.0,59124.376476336045,1308980.487870953
33,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1370004.268542953
34,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1431028.049214953
35,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1492051.829886953
36,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1553075.6105589531
37,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1614099.3912309532
38,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1675123.1719029532
39,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1736146.9525749532
40,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1797170.7332469532
41,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1858194.5139189532
42,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1919218.2945909533
43,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,1980242.0752629533
44,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2041265.8559349533
45,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2102289.636606953
46,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2163313.417278953
47,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2224337.1979509527
48,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2285360.9786229525
49,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2346384.7592949523
50,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2407408.539966952
51,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2468432.320638952
52,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2529456.1013109516
53,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2590479.8819829514
54,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2651503.662654951
55,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2712527.443326951
56,No.2,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2773551.223998951
57,No.2,720524.9676019202,720524.9676019202,,57641.99740815362,23056.798963261448,300.0,0.0,0.0,0.0,34285.19844489217,2807836.422443843
58,No.3,557053.7963980795,557053.7963980795,,44564.303711846354,17825.721484738544,300.0,0.0,0.0,0.0,26438.58222710781,2834275.0046709506
59,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2895298.7853429504
60,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,2956322.56601495
61,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3017346.34668695
62,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3078370.1273589497
63,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3139393.9080309495
64,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3200417.6887029493
65,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3261441.469374949
66,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3322465.250046949
67,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3383489.0307189487
68,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3444512.8113909485
69,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3505536.5920629483
70,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3566560.372734948
71,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3627584.153406948
72,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3688607.9340789476
73,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3749631.7147509474
74,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3810655.495422947
75,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3871679.276094947
76,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3932703.056766947
77,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,3993726.8374389466
78,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4054750.6181109464
79,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4115774.398782946
80,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4176798.179454946
81,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4237821.960126946
82,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4298845.740798946
83,No.3,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4359869.521470945
84,No.3,121194.40100007693,121194.40100007693,,9695.552080006155,3878.2208320024615,300.0,0.0,0.0,0.0,5517.331248003693,4365386.852718949
85,No.4,1156384.3629999228,1156384.3629999228,,92510.74903999383,37004.29961599753,300.0,0.0,0.0,0.0,55206.449423996295,4420593.302142946
86,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4481617.082814946
87,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4542640.863486946
88,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4603664.644158945
89,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4664688.424830945
90,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4725712.205502945
91,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4786735.986174945
92,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4847759.766846945
93,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4908783.547518944
94,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,4969807.328190944
95,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5030831.108862944
96,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5091854.889534944
97,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5152878.6702069435
98,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5213902.450878943
99,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5274926.231550943
100,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5335950.012222943
101,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5396973.792894943
102,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5457997.5735669425
103,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5519021.354238942
104,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5580045.134910942
105,No.4,1277578.7639999997,1277578.7639999997,,102206.30111999997,40882.52044799999,300.0,0.0,0.0,0.0,61023.780671999986,5641068.915582942
