B,N,coveragePct,coveredArea,efficiencyScore,efficiencyScoreDetail,innerArea,key,lenCV,meanThicknessM,minL,qualified,rank,signature,sumL,tonnageMinedArea,tonnageTotal,wb,ws
308,5,89.34119055174328,4823901.282188047,87.81795383813164,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.8934119055174329, 'N': 5, 'lenCV': 0.07232367136116424, 'minL': 2680.320789123546}, 'base': 89.34119055174328, 'penalty': {'N': 0.8, 'CV': 0.7232367136116424, 'short': 0, 'total': 1.5232367136116425}, 'score': 87.81795383813164}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,0.07232367136116424,25.80004083451255,2680.320789123546,True,1,x|wb=50.0000|ws=30.0000|N=5|B=308.0000,15662.017149961192,4820172.349423278,174239590.08695266,50,30
251,6,85.75191723410059,4630101.5348131545,83.94661050967996,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.8575191723410058, 'N': 6, 'lenCV': 0.0805306724420627, 'minL': 2680.548789123546}, 'base': 85.75191723410059, 'penalty': {'N': 1, 'CV': 0.805306724420627, 'short': 0, 'total': 1.805306724420627}, 'score': 83.94661050967996}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=6|B=251.0000,0.0805306724420627,25.80619359261087,2680.548789123546,True,2,x|wb=50.0000|ws=30.0000|N=6|B=251.0000,18446.61966061018,,167279415.18516618,50,30
212,7,84.96528186465396,4587627.829864144,82.92633955511313,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.8496528186465396, 'N': 7, 'lenCV': 0.08389423095408229, 'minL': 2681.0535675860765}, 'base': 84.96528186465396, 'penalty': {'N': 1.2000000000000002, 'CV': 0.8389423095408228, 'short': 0, 'total': 2.038942309540823}, 'score': 82.92633955511313}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=7|B=212.0000,0.08389423095408229,25.805946349011247,2681.0535675860765,True,3,x|wb=50.0000|ws=30.0000|N=7|B=212.0000,21639.75391445351,,165743308.705387,50,30
182,8,83.70836435425538,4519761.642357893,81.51900193704441,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.8370836435425538, 'N': 8, 'lenCV': 0.07893624172109755, 'minL': 2680.6692682519074}, 'base': 83.70836435425538, 'penalty': {'N': 1.4000000000000001, 'CV': 0.7893624172109754, 'short': 0, 'total': 2.1893624172109756}, 'score': 81.51900193704441}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=8|B=182.0000,0.07893624172109755,25.806373902772467,2680.6692682519074,True,4,x|wb=50.0000|ws=30.0000|N=8|B=182.0000,24833.855177790625,,163294122.45173547,50,30
158,9,82.38345914386626,4448224.517055403,80.02060931963047,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.8238345914386627, 'N': 9, 'lenCV': 0.07628498242357892, 'minL': 2680.920789123546}, 'base': 82.38345914386626, 'penalty': {'N': 1.6, 'CV': 0.7628498242357893, 'short': 0, 'total': 2.3628498242357896}, 'score': 80.02060931963047}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=9|B=158.0000,0.07628498242357892,25.808318272439465,2680.920789123546,True,5,x|wb=50.0000|ws=30.0000|N=9|B=158.0000,28153.319728198756,,160721671.71680784,50,30
350,4,80.66997467860756,4355706.386751514,79.27004317357392,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.8066997467860756, 'N': 4, 'lenCV': 0.07999315050336303, 'minL': 2680.152789123546}, 'base': 80.66997467860756, 'penalty': {'N': 0.6000000000000001, 'CV': 0.7999315050336303, 'short': 0, 'total': 1.3999315050336305}, 'score': 79.27004317357392}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,0.07999315050336303,25.819999999999922,2680.152789123546,True,6,x|wb=50.0000|ws=30.0000|N=4|B=350.0000,12444.875390718613,,157450074.46829325,50,30
143,10,80.57321561276117,4350481.963628013,77.64503477633185,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.8057321561276117, 'N': 10, 'lenCV': 0.11281808364293161, 'minL': 2268.250576835388}, 'base': 80.57321561276117, 'penalty': {'N': 1.8, 'CV': 1.128180836429316, 'short': 0, 'total': 2.9281808364293163}, 'score': 77.64503477633185}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=10|B=143.0000,0.11281808364293161,25.808648851052837,2268.250576835388,True,7,x|wb=50.0000|ws=30.0000|N=10|B=143.0000,30422.95079460149,,157192085.86495987,50,30
124,11,78.29442378954077,4227440.545330525,75.52298211142849,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.7829442378954077, 'N': 11, 'lenCV': 0.07714416781122894, 'minL': 2681.056789123546}, 'base': 78.29442378954077, 'penalty': {'N': 2, 'CV': 0.7714416781122895, 'short': 0, 'total': 2.7714416781122893}, 'score': 75.52298211142849}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=11|B=124.0000,0.07714416781122894,25.809683144266042,2681.056789123546,True,8,x|wb=50.0000|ws=30.0000|N=11|B=124.0000,34092.26246234295,,152752461.38068575,50,30
117,12,77.02645534976223,4158977.672330426,73.01810920125769,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.7702645534976222, 'N': 12, 'lenCV': 0.18083461485045477, 'minL': 1361.8869136989686}, 'base': 77.02645534976223, 'penalty': {'N': 2.2, 'CV': 1.8083461485045476, 'short': 0, 'total': 4.008346148504548}, 'score': 73.01810920125769}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=12|B=117.0000,0.18083461485045477,25.809923392839387,1361.8869136989686,True,9,x|wb=50.0000|ws=30.0000|N=12|B=117.0000,35546.81771222586,,150280053.16152886,50,30
109,13,75.96864906566194,4101862.325437633,70.81046083765497,"{'version': 'v2', 'weights': {'wN': 0.2, 'wCV': 10, 'wShort': 5, 'minLRef': 100}, 'inputs': {'coverageRatio': 0.7596864906566194, 'N': 13, 'lenCV': 0.27581882280069575, 'minL': 250.85666828725098}, 'base': 75.96864906566194, 'penalty': {'N': 2.4000000000000004, 'CV': 2.7581882280069574, 'short': 0, 'total': 5.158188228006958}, 'score': 70.81046083765497}",5399414.595213181,x|wb=50.0000|ws=30.0000|N=13|B=109.0000,0.27581882280069575,25.81022846187003,250.85666828725098,True,10,x|wb=50.0000|ws=30.0000|N=13|B=109.0000,37631.76445355626,,148218005.23415586,50,30
