B,N,_distCalib,_distScore,combinedScore,coveragePct,crowding,distExceedPct,distMean,distNorm,distP90,distPoints,distScore,effNorm,effScore,paretoRank,qualified,rank,recNorm,recScore,signature,source,tonnageTotal,totalScore,wb,ws
350,5,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7233306807426791,0.9223454673000169,56.51904871722216,,60.111111111111114,0.6808142430588866,0.7646832342424753,0.8364482644187691,76.46832342424753,0.7233306807426791,1,55.59262674908748,1,False,1,1,92.81826854990685,y|wb=80.0000|ws=30-30|N=5|B=350-350|h=1db0251b,disturbance,104319180.46401875,0.9223454673000169,80,30
350,5,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7238982760976161,0.9208255403027692,56.519048717222155,,60,0.6812824554314512,0.7601652712612386,0.8378772810911159,76.01652712612386,0.7238982760976161,0.9999244946603988,55.58929985518919,2,False,2,0.9999899169758327,92.81787584130821,y|wb=80.0000|ws=40-40|N=5|B=350-350|h=66160454,disturbance,104319180.46403053,0.9208255403027692,80,40
350,5,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7244972514132615,0.9192231002225733,56.519048717222155,,59.86666666666667,0.6817536295466723,0.7553975291026357,0.8394869618283582,75.53975291026357,0.7244972514132615,0.9998489893207975,55.585972961290906,3,False,3,0.999979573483734,92.81747298813443,y|wb=80.0000|ws=50-50|N=5|B=350-350|h=bd19a244,disturbance,104319180.46403049,0.9192231002225733,80,50
340.4,5,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7226224355231468,0.9057054224389136,54.9763963802186,3,60.24444444444445,0.680058119947046,0.7703207463462176,0.8349334539513059,77.03207463462176,0.7226224355231468,0.9650357276953957,54.05204134409984,1,False,4,0.9799619052370521,92.03783482455007,y|wb=80.0000|ws=30-30|N=5|B=325-350|h=02808640,disturbance,101471843.52820092,0.9057054224389136,80,30
309.6,5,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7262655421377799,0.8378503937812032,50.18897838273648,,59.55555555555555,0.6840383859863962,0.741322234151842,0.8426086166035676,74.1322234151842,0.7262655421377799,0.8564506097233135,49.26759605408243,4,False,5,0.915214694561117,89.51609274118017,y|wb=80.0000|ws=50-50|N=5|B=279-339|h=95e49174,disturbance,92635523.48976082,0.8378503937812032,80,50
290,5,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7262189985888083,0.7992087509658835,47.056525523694184,,60.50022532672374,0.6843347067624663,0.7416927129259194,0.8380037349071132,74.16927129259194,0.7262189985888083,0.7858029758144931,46.154740944482285,4,False,6,0.8705367997678863,87.77600036777484,y|wb=80.0000|ws=30-30|N=5|B=230-350|h=682ad148,disturbance,86853797.29836652,0.7992087509658835,80,30
350,4,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7307750158799575,0.7678918383863226,45.39679786452332,,61.364184140756805,0.6900952353239226,0.7054275862221051,0.8390889200196029,70.54275862221051,0.7307750158799575,0.7527246202082373,44.697252242185506,5,False,7,0.8459829214006885,86.8196881538261,y|wb=80.0000|ws=30-30|N=4|B=350-350|h=f20fd46c,disturbance,83790453.97022332,0.7678918383863226,80,30
350,3,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7471954230072096,0.5823099649749379,34.24439701789558,,63.17289423685877,0.7050551792169679,0.6,0.8568814058383928,60,0.7471954230072096,0.5047738063647313,33.77211696025348,6,False,8,0.6445056691240278,78.9726525733941,y|wb=80.0000|ws=30-30|N=3|B=350-350|h=bc0f2900,disturbance,63206078.57740494,0.5823099649749379,80,30
350,2,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.7401388587126585,0.4222391417254999,22.8700176462263,,58.94538606403014,0.6986452400762693,0.6308929817503014,0.8639947416527965,63.08929817503014,0.7401388587126585,0.2518039373991075,22.625833558875378,6,False,9,0.3891852091884968,69.02855858319397,y|wb=80.0000|ws=30-30|N=2|B=350-350|h=8a5cd1f8,disturbance,42211989.651928775,0.4222391417254999,80,30
350,1,"{'lo': 0.700049185105651, 'hi': 0.7440199690746616, 'best': 95, 'worst': 60}",0.6815801620367906,0.3135,11.53092308866945,,38.04347826086957,0.6230569815054139,0.95,0.8942470111222269,95,0.6815801620367906,0,11.53092308866945,1,False,10,0,53.87076707387537,y|wb=80.0000|ws=0-0|N=1|B=350-350|h=ad900934,disturbance,21249895.31946831,0.3135,80,
