type,workface,startDay,endDay,lengthM
drive,No.1,0.0,210.2212383626303,
install,No.1,210.2212383626303,225.2212383626303,
mining,No.1,225.2212383626303,750.774334269206,2680.320789123536
relocation,No.1,750.774334269206,760.774334269206,
drive,No.2,210.2212383626303,465.5512740993462,
install,No.2,760.774334269206,775.774334269206,
mining,No.2,775.774334269206,1414.0994236109955,3255.457955643127
relocation,No.2,1414.0994236109955,1424.0994236109955,
drive,No.3,465.5512740993462,720.8601303241837,
install,No.3,1424.0994236109955,1439.0994236109955,
mining,No.3,1439.0994236109955,2077.371564173089,3255.1879168666783
relocation,No.3,2077.371564173089,2087.371564173089,
drive,No.4,720.8601303241837,976.1478070371429,
install,No.4,2087.371564173089,2102.371564173089,
mining,No.4,2102.371564173089,2740.590755955487,3254.9178780902294
relocation,No.4,2740.590755955487,2750.590755955487,
drive,No.5,976.1478070371429,1228.3935019577461,
install,No.5,2750.590755955487,2765.590755955487,
mining,No.5,2765.590755955487,3396.2049932569953,3216.1326102376916
