month,workface,tonnage,tonnageAdj,risk,revenueWan,varCostWan,fixedCostWan,sustainCapexWan,riskExtraCostWan,capexInitialWan,netCashWan,cumCashWan
1,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,30000.0,-30300.0,-30300.0
2,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-30600.0
3,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-30900.0
4,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-31200.0
5,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-31500.0
6,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-31800.0
7,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-32100.0
8,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-32400.0
9,,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,-300.0,-32700.0
10,No.1,196169.29305110092,196169.29305110092,,19616.92930511009,6277.417377635229,300.0,0.0,0.0,0.0,13039.511927474861,-19660.48807252514
11,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,-6501.8736725251365
12,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,6656.740727474866
13,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,19815.355127474868
14,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,32973.96952747487
15,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,46132.58392747487
16,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,59291.19832747488
17,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,72449.81272747488
18,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,85608.42712747489
19,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,98767.0415274749
20,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,111925.6559274749
21,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,125084.27032747491
22,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,138242.8847274749
23,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,151401.4991274749
24,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,164560.1135274749
25,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,177718.7279274749
26,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,190877.34232747488
27,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,204035.95672747487
28,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,217194.57112747486
29,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,230353.18552747485
30,No.1,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,243511.79992747484
31,No.1,6130.2743211462885,6130.2743211462885,,613.0274321146289,196.16877827668122,300.0,0.0,0.0,0.0,116.85865383794771,243628.6585813128
32,No.2,191790.5256788537,191790.5256788537,,19179.052567885374,6137.296821723319,300.0,0.0,0.0,0.0,12741.755746162054,256370.41432747486
33,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,269529.02872747486
34,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,282687.6431274749
35,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,295846.2575274749
36,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,309004.8719274749
37,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,322163.48632747494
38,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,335322.10072747496
39,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,348480.715127475
40,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,361639.329527475
41,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,374797.943927475
42,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,387956.55832747504
43,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,401115.17272747506
44,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,414273.7871274751
45,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,427432.4015274751
46,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,440591.0159274751
47,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,453749.63032747514
48,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,466908.24472747516
49,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,480066.8591274752
50,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,493225.4735274752
51,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,506384.0879274752
52,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,519542.70232747524
53,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,532701.3167274753
54,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,545859.9311274752
55,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,559018.5455274752
56,No.2,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,572177.1599274751
57,No.2,111622.76802508449,111622.76802508449,,11162.276802508448,3571.928576802704,300.0,0.0,0.0,0.0,7290.348225705744,579467.5081531809
58,No.3,86298.03197491547,86298.03197491547,,8629.803197491547,2761.537023197295,300.0,0.0,0.0,0.0,5568.266174294251,585035.7743274752
59,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,598194.3887274752
60,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,611353.0031274752
61,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,624511.6175274751
62,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,637670.2319274751
63,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,650828.846327475
64,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,663987.460727475
65,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,677146.075127475
66,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,690304.6895274749
67,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,703463.3039274749
68,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,716621.9183274749
69,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,729780.5327274748
70,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,742939.1471274748
71,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,756097.7615274747
72,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,769256.3759274747
73,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,782414.9903274747
74,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,795573.6047274746
75,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,808732.2191274746
76,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,821890.8335274745
77,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,835049.4479274745
78,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,848208.0623274745
79,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,861366.6767274744
80,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,874525.2911274744
81,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,887683.9055274744
82,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,900842.5199274743
83,No.3,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,914001.1343274743
84,No.3,18775.275135565753,18775.275135565753,,1877.5275135565755,600.8088043381041,300.0,0.0,0.0,0.0,976.7187092184713,914977.8530366927
85,No.4,179145.5248644342,179145.5248644342,,17914.552486443423,5732.656795661895,300.0,0.0,0.0,0.0,11881.895690781528,926859.7487274742
86,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,940018.3631274742
87,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,953176.9775274742
88,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,966335.5919274741
89,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,979494.2063274741
90,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,992652.820727474
91,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1005811.435127474
92,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1018970.049527474
93,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1032128.663927474
94,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1045287.2783274739
95,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1058445.892727474
96,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1071604.507127474
97,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1084763.1215274741
98,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1097921.7359274742
99,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1111080.3503274743
100,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1124238.9647274744
101,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1137397.5791274745
102,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1150556.1935274745
103,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1163714.8079274746
104,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1176873.4223274747
105,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1190032.0367274748
106,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1203190.6511274748
107,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1216349.265527475
108,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1229507.879927475
109,No.4,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1242666.494327475
110,No.4,123429.39565259092,123429.39565259092,,12342.939565259092,3949.7406608829097,300.0,0.0,0.0,0.0,8093.198904376182,1250759.6932318513
111,No.5,74491.40434740904,74491.40434740904,,7449.140434740904,2383.7249391170894,300.0,0.0,0.0,0.0,4765.415495623814,1255525.1087274752
112,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1268683.7231274752
113,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1281842.3375274753
114,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1295000.9519274754
115,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1308159.5663274755
116,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1321318.1807274756
117,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1334476.7951274756
118,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1347635.4095274757
119,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1360794.0239274758
120,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1373952.6383274759
121,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1387111.252727476
122,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1400269.867127476
123,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1413428.481527476
124,No.5,197920.8,197920.8,,19792.08,6333.4656,300.0,0.0,0.0,0.0,13158.614400000002,1426587.0959274762
