ID,Cat,X,Y,ODI,ODI_norm,Ti,Hi,Di,Mi
52-18,geo,496022.31,5404502.09,229.0824841498075,0.8088658702120348,16.779736450949503,284.6952284853416,57.05486462557438,21.251433209424903
52-19,geo,496166.57,5404015.05,142.1024615110817,0.005321321634383044,11.969285113739062,92.07867227801192,191.6227717743918,25.25407367441324
54-17,geo,496655.46,5404184.68,211.54207754589774,0.6468229357677767,32.89165433156425,217.40923479225648,114.93978787872034,15.573278969154245
54-18,geo,496814.18,5403710.73,141.52645277946147,0,23.121918656981702,96.16714556550124,161.7186628863,19.102219107984414
56-20,geo,497136.01,5404331.36,194.1154345579136,0.48583097981984763,7.648051353697635,237.95074735767008,42.01149797695838,31.080042444403812
56-22,geo,497291.62,5403856.01,217.3659453462788,0.7006253731627468,10.617617132577735,278.738421890937,60.7706122441927,15.913085816697308
60-20,geo,498232.97,5404152.17,224.478737833695,0.7663352391185955,28.10042428515947,253.4589736553553,77.90680213559509,19.31780299299755
BK12-3,geo,497621.5,5404458.17,249.7718796107286,1,15.796345162617847,295.45958096766583,110.65446561177373,20.136751812408345
BK12-4,geo,497754,5403998.03,230.21513078270314,0.8193295606057288,20.80253761398188,283.3067868451132,54.11118315227186,20.689696625373564
BK12-8,geo,498378.44,5403689.89,187.69102131486943,0.4264805441376221,60.914643033857956,140.13606329382773,132.21369758513725,17.585333975982234
BK17-6,geo,498782.26,5404074.31,174.37080068471425,0.3034248084812906,16.58190568540306,142.46007745529215,199.4997806188104,25.435041870116287
BK20-1,geo,498695.79,5404381,199.43590128557477,0.5349828644159027,24.63877158286084,199.58717662129467,134.72871540991724,20.207016604835758
BND-1,gray,496022.31,5403689.89,174.5889733393164,0.30544034540500964,19.421296759725795,161.90412475720802,136.60525381381723,21.15221564913153
BND-2,gray,498782.26,5403689.89,193.12009051307814,0.47663572719834885,43.14389693176241,170.1294173405177,128.0835566729702,19.35138171305636
BND-3,gray,498782.26,5404502.09,201.75759783026965,0.5564313136729224,23.87798444142291,205.609722464635,129.14964864857674,20.591413789362377
BND-4,gray,496022.31,5404502.09,229.0824841498075,0.8088658702120348,16.779736450949503,284.6952284853416,57.05486462557438,21.251433209424903
