钻孔ID,X,Y,实测地表下沉值/m
S11,494517.715,5403803.377,0.366
S12,494517.715,5403778.377,0.608
S13,494517.715,5403753.377,0.9475
S14,494517.715,5403728.376,1.445
S15,494517.715,5403703.376,2.1665
S16,494517.715,5403678.376,3.039
S17,494517.715,5403635.076,4.437
S18,494517.715,5403610.076,4.3635
S19,494517.715,5403585.076,3.641
S20,494517.715,5403560.076,2.585
S21,494517.715,5403535.076,1.6585
S22,494517.715,5403510.076,1.037
S23,494517.715,5403485.076,0.612
S24,494517.715,5403460.076,0.3515
S25,494517.715,5403435.076,0.194
S26,494517.715,5403410.076,0.1215
