Var1,Var2,Var3,Var4,Var5
70,砂质砾岩,23.5,含,
69,泥岩,2.9,,
68,砂质砾岩,29.65,含,
67,泥岩,4.65,,
66,煤,1.8,,
65,泥岩,1.1,,
64,细砂岩,5.15,,
63,15-1上煤,4.35,,
62,细砂岩,18.15,,
61,15-1下煤,4.2,,
60,粉砂岩,20.25,,
59,中砾岩,4.5,含,
58,粉砂岩,2.9,,
57,砂质砾岩,12.3,含,
56,细砂岩,2.85,,
55,15-2煤,2.95,,
54,砂质泥岩,9.2,,
53,15-3煤,6.9,,
52,泥岩,2.25,,
51,砂质砾岩,21.3,含,
50,煤,0.8,,
49,砂质泥岩,7.9,,
48,煤,1.5,,
47,泥岩,1.3,,
46,粗砂岩,1.6,,
45,砂质砾岩,11.55,含,
44,15-4煤,1.2,,
43,砂质泥岩,14.35,,
42,15-5上煤,1.8,,
41,砂质泥岩,46.45,,
40,中砂岩,4.4,1含,
39,砂质砾岩,6.1,1含,
38,砂质泥岩,7.05,,
37,15-6煤,0.8,,
36,中砂岩,4.8,1含,
35,砂质砾岩,15.5,1含,
34,砂质泥岩,17.6,,
33,炭质泥岩,0.65,,
32,15-7煤,2.15,,
31,砂质泥岩,16.9,,
30,炭质泥岩,1.7,,
29,砂质泥岩,3.3,,
28,砂质砾岩,26.55,2含,
27,泥岩,4.5,,
26,煤,2,,
25,砂质泥岩,8.25,,
24,16-1煤,1.55,,
23,细砂岩,7.3,,目标层
22,砂质泥岩,12.7,,
21,16-2上煤,2.4,,
20,炭质泥岩,0.6,,
19,泥岩,2.61,,
18,含碳泥岩,0.7,,
17,砂质泥岩,0.81,,
16,16-2下煤,1.88,,
15,砂质泥岩,46.85,,
14,含碳泥岩,1.6,,
13,煤,1.1,,
12,砂质泥岩,9.35,,
11,煤,0.7,,
10,砂质泥岩,3.3,,
9,16-3煤,43.9,,
8,泥岩,1.1,,
7,细砂岩,1.55,,
6,砂质泥岩,2.35,,
5,煤,0.9,,
4,砂质泥岩,3.2,,
3,含碳泥岩,3.45,,
2,16-4煤,3.7,,
1,细砂岩,5.55,,
