Var1,Var2,Var3,Var4,Var5
40,砂砾岩,28.35,含,
39,黏土,38.75,,
38,中砾岩,6.4,含,
37,粉砂岩,16.5,,
36,炭质泥岩,0.4,,
35,泥岩,15.25,,
34,15-1上煤,0.8,,
33,泥岩,26.65,,
32,15-1下煤,0.5,,
31,炭质泥岩,0.7,,
30,粉砂岩,19,,
29,15-3煤,0.6,,
28,粉砂岩,25.6,,
27,15-4煤,0.5,,
26,粗砂岩,13.3,,
25,泥岩,16.6,,
24,粉砂岩,35.2,,
23,中砾岩,0.6,2含,
22,粗砂岩,33.85,,
21,泥岩,33.95,,
20,炭质泥岩,0.4,,
19,粉砂岩,48.1,,目标层
18,中砾岩,10.2,2含,
17,粉砂岩,2,,
16,含砾粗砂岩,12.1,2含,
15,泥岩,22.9,,
14,炭质泥岩,0.6,,
13,粉砂岩,20.1,,
12,煤,0.8,,
11,泥岩,9.1,,
10,16-2下煤,0.6,,
9,泥岩,13.1,,
8,16-3上煤,0.4,,
7,泥岩,18.25,,
6,炭质泥岩,0.45,,
5,16-3中煤,4.05,,
4,泥岩,2,,
3,炭质泥岩,4.1,,
2,16-3煤,20,,
1,粉砂岩,31,,
