Var1,Var2,Var3,Var4,Var5
36,砂砾岩,20.55,含,SK5
35,粉砂岩,6.2,,
34,砂质砾岩,10.2,含,
33,泥岩,14.35,,
32,15-5下煤,0.4,,
31,泥岩,22.9,,
30,细砂岩,6.3,,
29,泥岩,2.5,,
28,中砾岩,8,3含,
27,泥岩,3.1,,
26,炭质泥岩,0.5,,
25,粉砂岩,4.75,,
24,泥岩,8.45,,
23,中砾岩,8,3含,
22,泥岩,12.6,,
21,炭质泥岩,0.2,,
20,泥岩,3.2,,
19,粉砂岩,13.9,,
18,泥岩,13,,
17,粉砂岩,23.15,,SK4
16,细砂岩,0.5,,
15,粉砂岩,9.35,,SK3
14,泥岩,18.6,,
13,粉砂岩,9.25,,
12,细砂岩,15.9,,SK2
11,泥岩,10.9,,
10,16-3上2煤,3.4,,
9,泥岩,3.2,,
8,粉砂岩,2.45,,
7,16-3上1煤,1.75,,
6,炭质泥岩,0.45,,
5,粉砂岩,4.85,,SK1
4,16-3中煤,7.65,,
3,粉砂岩,7.15,,
2,16-3煤,19.1,,
1,泥岩,3.8,,
